text_id,passage_id,condition,author_id,author_name,work_id,work_title,qc_status,qc_flags,word_count_feature,sentence_count_feature,paragraph_count_feature,mean_sentence_words,median_sentence_words,std_sentence_words,short_sentence_ratio,long_sentence_ratio,punctuation_per_1000w,comma_per_1000w,semicolon_per_1000w,colon_per_1000w,dash_per_1000w,question_per_1000w,exclamation_per_1000w,quote_mark_per_1000w,apostrophe_per_1000w,ellipsis_per_1000w,type_token_ratio,root_type_token_ratio,hapax_ratio,avg_word_length,long_word_ratio,short_word_ratio,contraction_per_1000w,archaic_marker_per_1000w,abstract_suffix_per_1000w,dialogue_marker_per_1000w,fw_the_per_1000w,fw_and_per_1000w,fw_of_per_1000w,fw_to_per_1000w,fw_a_per_1000w,fw_in_per_1000w,fw_that_per_1000w,fw_it_per_1000w,fw_is_per_1000w,fw_was_per_1000w,fw_i_per_1000w,fw_for_per_1000w,fw_with_per_1000w,fw_as_per_1000w,fw_his_per_1000w,fw_he_per_1000w,fw_be_per_1000w,fw_not_per_1000w,fw_by_per_1000w,fw_but_per_1000w,fw_had_per_1000w,fw_you_per_1000w,fw_at_per_1000w,fw_on_per_1000w,fw_her_per_1000w,fw_which_per_1000w,fw_have_per_1000w,fw_or_per_1000w,fw_from_per_1000w,fw_this_per_1000w,fw_my_per_1000w,fw_me_per_1000w,fw_all_per_1000w,fw_so_per_1000w,fw_were_per_1000w,fw_they_per_1000w,fw_him_per_1000w,fw_she_per_1000w,fw_there_per_1000w,fw_no_per_1000w,fw_one_per_1000w,fw_their_per_1000w,fw_we_per_1000w,fw_what_per_1000w,fw_if_per_1000w,fw_would_per_1000w,fw_when_per_1000w,fw_who_per_1000w,fw_will_per_1000w,fw_more_per_1000w,fw_an_per_1000w,fw_do_per_1000w,fw_are_per_1000w,fw_than_per_1000w,fw_could_per_1000w,fw_them_per_1000w,fw_been_per_1000w,char3__space_th,char3_the,char3_he_space_,char3__space_an,char3_nd_space_,char3_and,char3_ed_space_,char3__space_to,char3__space_of,char3_ing,char3_of_space_,char3_to_space_,char3__space_he,char3_ng_space_,char3__space_in,char3_er_space_,char3_at_space_,char3_as_space_,char3__space_ha,char3_comma_space_a,char3_her,char3__space_a_space_,char3_d_space_t,char3__space_be,char3__space_wa,char3_is_space_,char3__space_i_space_,char3_in_space_,char3__space_hi,char3_re_space_,char3_hat,char3_e_space_t,char3__space_wh,char3__space_co,char3_tha,char3_on_space_,char3_n_space_t,char3_was,char3__space_it,char3__space_no,char3_his,char3__space_wi,char3_e_space_w,char3_ere,char3_e_space_s,char3_en_space_,char3_e_space_a,char3_t_space_t,char3_ecomma_space_,char3_you,char3_ver,char3_for,char3__space_yo,char3_ent,char3__space_sh,char3__space_fo,char3_ut_space_,char3_or_space_,char3_ly_space_,char3__space_re,char3_e_space_o,char3_it_space_,char3_ll_space_,char3__space_so,char3_ter,char3_ion,char3_th_space_,char3__space_on,char3__space_we,char3_d_space_a,char3_scomma_space_,char3_e_space_h,char3_me_space_,char3_ad_space_,char3__space_ma,char3_f_space_t,char3_ith,char3_thi,char3_s_space_a,char3_ld_space_,char3_s_space_t,char3_ve_space_,char3_st_space_,char3__space_me,char3_t_space_i,char3_wit,char3__space_as,char3_an_space_,char3_all,char3_not,char3_had,char3_d_space_h,char3__space_sa,char3_e_space_i,char3_e_space_m,char3_dcomma_space_,char3_t_space_a,char3_le_space_,char3__space_do,char3_ght,char3_comma_space_t,char3_eve,char3_e_space_c,char3__space_mo,char3_s_space_o,char3_es_space_,char3_ot_space_,char3_oul,char3_ou_space_,char3_tio,char3__space_de,char3__space_al,char3_d_space_i,char3_she,char3_ch_space_,char3__space_my,char3__space_se,char3_uld,char3_t_space_w,char3__space_bu
AUSTEN_EMMA_001__original,AUSTEN_EMMA_001,original,austen,Jane Austen,emma,Emma,pass,,569,27,7,21.074074,11,20.938934,0.481481,0.148148,152.899824,66.783831,12.302285,1.757469,5.272408,3.514938,1.757469,8.787346,5.272408,0.0,0.523726,12.49281,0.374341,4.490334,0.126538,0.43761,5.272408,0.0,15.817223,8.787346,47.45167,33.391916,29.876977,22.8471,21.089631,19.332162,8.787346,5.272408,1.757469,14.059754,5.272408,5.272408,17.574692,10.544815,14.059754,5.272408,5.272408,12.302285,1.757469,7.029877,12.302285,12.302285,5.272408,5.272408,15.817223,8.787346,3.514938,1.757469,0.0,0.0,0.0,1.757469,10.544815,5.272408,3.514938,3.514938,5.272408,10.544815,0.0,1.757469,3.514938,7.029877,0.0,1.757469,0.0,7.029877,0.0,0.0,1.757469,1.757469,8.787346,5.272408,3.514938,1.757469,3.514938,1.757469,5.272408,16.583229,13.141427,11.26408,8.760951,8.135169,6.570713,6.257822,4.067584,5.944931,7.509387,5.319149,4.380476,5.006258,5.006258,5.944931,5.63204,3.128911,4.380476,4.693367,2.503129,5.006258,3.441802,3.128911,3.754693,4.380476,2.81602,0.938673,4.380476,4.380476,2.81602,1.877347,2.503129,2.81602,2.503129,1.877347,3.128911,1.564456,2.503129,1.251564,2.503129,2.503129,3.754693,1.564456,1.564456,1.877347,2.503129,1.877347,1.877347,1.564456,2.81602,3.441802,2.503129,2.81602,2.190238,2.503129,1.877347,2.190238,1.564456,1.564456,1.877347,0.938673,1.877347,3.441802,2.190238,1.251564,2.81602,4.067584,1.251564,2.190238,1.251564,3.441802,2.503129,1.564456,2.503129,0.625782,2.190238,3.754693,2.190238,1.877347,1.877347,1.251564,0.938673,0.312891,0.625782,0.625782,3.128911,1.877347,1.877347,4.067584,2.503129,2.190238,2.503129,1.564456,2.503129,1.877347,1.564456,1.564456,1.877347,1.251564,1.251564,1.251564,2.503129,1.877347,0.625782,2.190238,1.251564,2.190238,1.877347,1.564456,1.564456,0.938673,2.81602,0.312891,1.877347,3.754693,0.0,2.190238,1.877347,0.625782,1.251564
AUSTEN_EMMA_001__paraphrase,AUSTEN_EMMA_001,paraphrase,austen,Jane Austen,emma,Emma,pass,,559,27,7,20.703704,11,19.725552,0.444444,0.148148,144.90161,62.611807,12.522361,1.788909,5.366726,3.577818,1.788909,7.155635,3.577818,0.0,0.570662,13.492262,0.443649,4.905188,0.18068,0.397138,3.577818,0.0,23.255814,7.155635,48.300537,25.044723,33.989267,17.889088,23.255814,16.100179,10.733453,8.944544,1.788909,12.522361,5.366726,8.944544,23.255814,8.944544,14.31127,5.366726,1.788909,12.522361,7.155635,3.577818,8.944544,14.31127,3.577818,3.577818,14.31127,5.366726,1.788909,1.788909,0.0,1.788909,0.0,1.788909,1.788909,3.577818,7.155635,5.366726,3.577818,10.733453,0.0,1.788909,5.366726,7.155635,0.0,1.788909,0.0,7.155635,0.0,0.0,1.788909,3.577818,7.155635,5.366726,3.577818,1.788909,3.577818,0.0,3.577818,14.243323,12.166172,10.682493,7.121662,4.451039,4.747774,9.792285,3.264095,5.934718,8.308605,5.637982,3.264095,4.154303,6.824926,4.747774,5.637982,2.967359,3.560831,4.451039,2.373887,4.154303,3.560831,0.890208,2.670623,2.967359,2.967359,0.890208,2.670623,3.857567,3.264095,2.373887,1.186944,2.077151,5.04451,2.077151,2.373887,1.48368,2.373887,1.780415,2.670623,2.670623,4.451039,1.48368,1.780415,2.373887,1.186944,1.780415,2.967359,0.593472,2.967359,1.780415,2.373887,2.967359,4.451039,2.373887,1.780415,0.890208,2.373887,3.560831,2.077151,2.077151,1.48368,1.48368,1.48368,1.780415,2.967359,4.451039,1.48368,2.077151,0.890208,3.264095,2.373887,1.186944,1.48368,0.593472,1.780415,4.451039,1.48368,1.48368,1.780415,0.593472,1.186944,1.186944,1.186944,0.593472,3.857567,1.48368,1.780415,2.373887,2.373887,1.48368,1.780415,0.296736,2.373887,2.373887,1.186944,0.593472,2.077151,0.890208,1.48368,1.48368,2.077151,1.48368,1.48368,1.48368,0.593472,2.077151,1.780415,1.780415,2.373887,1.48368,0.890208,1.186944,2.373887,2.077151,0.0,2.670623,1.780415,1.186944,0.296736
AUSTEN_EMMA_001__modernize,AUSTEN_EMMA_001,modernize,austen,Jane Austen,emma,Emma,pass,,492,29,7,16.965517,11,13.689872,0.482759,0.068966,176.829268,73.170732,8.130081,2.03252,4.065041,6.097561,2.03252,18.292683,20.325203,0.0,0.585366,12.984043,0.434959,4.670732,0.142276,0.416667,20.325203,0.0,24.390244,18.292683,46.747967,22.357724,26.422764,14.227642,26.422764,16.260163,10.162602,8.130081,2.03252,8.130081,8.130081,6.097561,12.195122,10.162602,14.227642,6.097561,4.065041,2.03252,6.097561,8.130081,12.195122,16.260163,4.065041,6.097561,22.357724,4.065041,0.0,2.03252,0.0,0.0,0.0,0.0,4.065041,4.065041,4.065041,4.065041,4.065041,18.292683,0.0,2.03252,4.065041,6.097561,0.0,2.03252,0.0,4.065041,0.0,0.0,0.0,2.03252,8.130081,2.03252,4.065041,2.03252,4.065041,2.03252,4.065041,14.340679,11.542497,12.242043,6.295908,5.946135,4.197272,8.394544,3.497726,5.24659,7.694998,4.547044,2.798181,5.596362,5.596362,4.896817,6.995453,2.798181,3.147954,4.896817,2.448409,5.596362,4.197272,4.547044,3.847499,3.497726,2.798181,1.399091,3.147954,4.197272,3.497726,2.448409,2.798181,2.098636,2.098636,2.098636,2.098636,1.399091,1.399091,1.399091,0.699545,2.448409,2.448409,1.399091,1.399091,3.147954,1.399091,1.399091,2.098636,1.748863,3.147954,1.399091,2.098636,3.147954,1.748863,4.197272,1.748863,1.399091,1.748863,2.098636,3.147954,0.699545,1.748863,1.748863,1.748863,2.098636,2.798181,2.098636,1.748863,1.748863,1.399091,3.847499,3.147954,0.699545,2.448409,1.399091,2.448409,2.798181,1.399091,1.748863,1.748863,0.349773,0.699545,1.049318,0.0,0.0,2.098636,1.748863,1.748863,3.147954,0.349773,2.098636,1.399091,1.748863,2.448409,1.399091,1.049318,0.699545,2.448409,1.049318,1.399091,1.049318,1.399091,1.399091,1.049318,1.748863,1.049318,0.349773,1.748863,2.098636,2.448409,1.399091,1.399091,0.699545,3.497726,2.448409,0.0,3.497726,1.748863,0.349773,1.399091
AUSTEN_EMMA_001__simplify,AUSTEN_EMMA_001,simplify,austen,Jane Austen,emma,Emma,pass,,540,33,7,16.363636,12,10.724704,0.424242,0.030303,153.703704,66.666667,3.703704,1.851852,7.407407,3.703704,0.0,11.111111,7.407407,0.0,0.548148,12.737812,0.396296,4.566667,0.127778,0.422222,7.407407,0.0,20.37037,11.111111,48.148148,22.222222,31.481481,14.814815,22.222222,14.814815,11.111111,7.407407,1.851852,9.259259,5.555556,5.555556,11.111111,7.407407,12.962963,5.555556,5.555556,12.962963,9.259259,5.555556,11.111111,14.814815,3.703704,7.407407,16.666667,3.703704,1.851852,1.851852,0.0,1.851852,0.0,1.851852,5.555556,3.703704,9.259259,3.703704,5.555556,18.518519,0.0,1.851852,3.703704,7.407407,0.0,1.851852,0.0,9.259259,0.0,1.851852,1.851852,1.851852,11.111111,5.555556,3.703704,1.851852,3.703704,1.851852,3.703704,14.949626,12.349691,12.674683,6.499838,5.849854,4.549886,8.124797,3.249919,6.174846,6.824829,5.524862,2.924927,4.874878,4.224894,3.899903,6.174846,2.924927,2.924927,4.874878,1.624959,4.874878,3.574911,4.224894,4.549886,3.574911,2.924927,0.974976,2.924927,4.224894,4.224894,2.274943,2.274943,2.274943,2.274943,2.274943,2.599935,1.624959,1.624959,1.624959,2.599935,2.599935,2.599935,1.624959,2.599935,3.249919,1.299968,1.624959,2.599935,0.974976,2.924927,2.924927,2.274943,2.924927,1.624959,4.224894,2.274943,1.299968,1.624959,2.274943,2.599935,1.299968,1.299968,2.274943,1.949951,1.624959,2.599935,2.274943,1.624959,2.274943,1.624959,2.924927,3.899903,1.299968,1.949951,1.624959,2.599935,2.599935,1.299968,1.624959,2.599935,0.324992,0.974976,0.649984,0.974976,0.324992,1.949951,1.299968,2.274943,4.224894,2.274943,1.949951,0.974976,0.974976,1.949951,1.299968,1.299968,0.324992,2.274943,0.974976,0.649984,1.299968,2.599935,1.299968,0.649984,2.274943,0.974976,2.274943,2.274943,1.949951,1.624959,1.299968,1.624959,0.649984,3.249919,2.599935,0.0,3.249919,2.274943,0.974976,1.299968
AUSTEN_EMMA_002__original,AUSTEN_EMMA_002,original,austen,Jane Austen,emma,Emma,pass,,562,41,9,13.707317,13,10.714121,0.365854,0.02439,218.86121,67.615658,12.455516,1.779359,14.234875,0.0,0.0,49.822064,7.117438,0.0,0.466192,11.051803,0.30427,4.197509,0.104982,0.462633,7.117438,0.0,23.131673,49.822064,24.911032,28.469751,16.014235,33.807829,24.911032,7.117438,10.676157,5.338078,5.338078,3.558719,42.704626,10.676157,7.117438,8.896797,1.779359,5.338078,10.676157,19.572954,1.779359,12.455516,8.896797,26.690391,7.117438,3.558719,16.014235,1.779359,17.793594,3.558719,7.117438,0.0,3.558719,5.338078,7.117438,5.338078,7.117438,0.0,3.558719,14.234875,5.338078,3.558719,0.0,0.0,3.558719,0.0,1.779359,3.558719,1.779359,1.779359,10.676157,0.0,1.779359,8.896797,3.558719,0.0,5.338078,0.0,5.338078,9.574117,7.263123,7.923407,7.923407,5.942555,5.612413,3.30142,6.272697,3.30142,7.593265,2.971278,6.272697,4.952129,5.942555,2.310994,6.932981,3.30142,2.641136,7.593265,1.980852,6.602839,4.621987,1.320568,4.291845,1.320568,1.320568,5.612413,1.320568,0.990426,4.291845,2.641136,2.641136,0.990426,2.641136,2.971278,4.952129,1.65071,0.660284,0.660284,4.952129,0.330142,5.282271,3.30142,3.30142,1.65071,1.980852,1.980852,1.320568,2.641136,6.602839,4.952129,3.631562,5.282271,2.310994,3.30142,3.30142,2.971278,2.971278,2.641136,3.631562,1.65071,2.310994,3.631562,2.641136,1.320568,3.30142,1.65071,1.65071,3.631562,1.65071,0.660284,2.310994,1.980852,1.980852,3.631562,0.990426,2.310994,2.310994,0.330142,2.310994,1.65071,3.30142,2.310994,1.980852,2.310994,1.320568,2.310994,1.320568,1.320568,4.621987,1.65071,2.310994,1.320568,0.990426,1.65071,0.990426,0.990426,0.990426,2.971278,1.980852,1.65071,2.641136,0.330142,0.990426,1.320568,0.0,3.30142,2.310994,4.621987,2.971278,0.990426,1.980852,1.320568,3.30142,2.310994,0.660284,1.320568,2.310994,0.660284,1.320568
AUSTEN_EMMA_002__paraphrase,AUSTEN_EMMA_002,paraphrase,austen,Jane Austen,emma,Emma,pass,,542,41,9,13.219512,12,9.99393,0.390244,0.02439,225.092251,66.420664,12.915129,1.845018,12.915129,0.0,0.0,55.350554,9.225092,0.0,0.5369,12.49952,0.398524,4.850554,0.206642,0.402214,9.225092,0.0,36.900369,55.350554,22.140221,27.675277,14.760148,31.365314,27.675277,3.690037,18.450185,5.535055,3.690037,3.690037,47.97048,12.915129,7.380074,9.225092,1.845018,5.535055,9.225092,16.605166,3.690037,7.380074,3.690037,23.98524,5.535055,0.0,20.295203,0.0,16.605166,1.845018,9.225092,0.0,3.690037,3.690037,3.690037,3.690037,5.535055,0.0,3.690037,14.760148,3.690037,3.690037,1.845018,0.0,3.690037,0.0,0.0,5.535055,1.845018,0.0,7.380074,0.0,1.845018,5.535055,5.535055,0.0,3.690037,0.0,3.690037,7.626602,5.491153,7.016473,7.321538,4.881025,5.186089,7.931666,5.186089,2.745577,7.016473,2.440513,5.186089,4.881025,6.406345,3.050641,5.491153,3.660769,2.440513,5.796217,0.915192,5.491153,4.575961,2.440513,4.270897,0.915192,0.915192,5.491153,0.915192,1.220256,3.355705,3.355705,2.745577,0.915192,3.965833,3.355705,4.575961,0.610128,0.915192,0.610128,3.965833,0.305064,3.965833,2.135448,3.660769,1.830384,1.220256,2.440513,1.52532,3.050641,5.796217,3.050641,2.745577,4.881025,5.186089,2.745577,2.440513,1.52532,2.745577,3.965833,6.101281,0.610128,0.915192,2.745577,1.830384,1.220256,3.660769,1.52532,0.0,3.660769,2.440513,0.305064,1.52532,1.220256,0.915192,1.830384,0.610128,2.135448,1.220256,1.220256,2.135448,2.135448,3.965833,2.745577,1.830384,2.440513,1.220256,2.135448,1.220256,1.52532,3.965833,0.610128,2.135448,0.0,1.830384,0.915192,1.830384,0.915192,3.050641,0.915192,1.830384,1.220256,3.355705,1.220256,0.915192,0.610128,1.52532,2.745577,1.52532,3.660769,3.660769,1.52532,0.915192,0.610128,3.050641,1.220256,0.610128,1.220256,1.52532,0.305064,0.305064
AUSTEN_EMMA_002__modernize,AUSTEN_EMMA_002,modernize,austen,Jane Austen,emma,Emma,pass,,558,41,9,13.609756,12,10.290602,0.317073,0.02439,198.924731,60.9319,10.752688,0.0,3.584229,0.0,0.0,48.387097,5.376344,0.0,0.471326,11.133678,0.322581,4.204301,0.111111,0.453405,5.376344,0.0,19.713262,48.387097,23.297491,25.089606,14.336918,30.46595,30.46595,12.544803,17.921147,7.168459,10.752688,8.960573,44.802867,10.752688,7.168459,5.376344,1.792115,5.376344,10.752688,19.713262,1.792115,12.544803,5.376344,25.089606,7.168459,3.584229,16.129032,0.0,17.921147,3.584229,7.168459,0.0,1.792115,3.584229,5.376344,1.792115,7.168459,0.0,3.584229,19.713262,3.584229,1.792115,0.0,0.0,3.584229,0.0,5.376344,5.376344,1.792115,1.792115,10.752688,0.0,1.792115,7.168459,3.584229,0.0,5.376344,0.0,7.168459,9.647372,6.65336,8.982036,7.318696,5.322688,4.657352,4.99002,6.320692,2.661344,7.318696,2.661344,5.655356,5.322688,5.655356,2.994012,6.320692,3.992016,2.994012,7.651364,1.330672,5.655356,5.655356,2.994012,4.99002,2.328676,2.328676,5.988024,2.328676,0.998004,3.32668,3.32668,2.994012,0.665336,3.32668,3.659348,4.324684,0.665336,1.996008,0.998004,4.657352,0.332668,4.99002,3.32668,2.328676,1.996008,2.661344,2.328676,2.661344,3.32668,6.65336,3.32668,2.661344,6.320692,3.992016,4.657352,2.328676,3.32668,2.994012,2.661344,3.659348,1.330672,2.328676,4.657352,1.330672,0.998004,2.994012,1.66334,1.66334,4.324684,0.998004,0.0,2.328676,1.66334,1.330672,1.66334,0.665336,2.328676,2.328676,0.665336,1.996008,3.659348,2.994012,2.328676,1.330672,4.324684,1.330672,1.66334,1.330672,1.66334,4.99002,0.998004,2.661344,1.330672,1.66334,0.998004,1.66334,0.998004,1.996008,1.66334,2.661344,1.330672,1.66334,1.330672,1.330672,0.998004,0.665336,3.992016,1.996008,3.992016,2.661344,0.332668,1.66334,0.665336,4.324684,0.998004,0.332668,0.998004,1.996008,0.665336,1.996008
AUSTEN_EMMA_002__simplify,AUSTEN_EMMA_002,simplify,austen,Jane Austen,emma,Emma,pass,,575,46,9,12.5,12.0,8.107297,0.369565,0.021739,200.0,66.086957,1.73913,0.0,1.73913,0.0,0.0,48.695652,6.956522,0.0,0.462609,11.092967,0.316522,4.222609,0.106087,0.446957,6.956522,0.0,19.130435,48.695652,26.086957,22.608696,13.913043,31.304348,29.565217,6.956522,20.869565,5.217391,6.956522,8.695652,43.478261,8.695652,6.956522,6.956522,1.73913,5.217391,6.956522,22.608696,1.73913,8.695652,5.217391,26.086957,6.956522,1.73913,20.869565,0.0,19.130435,3.478261,5.217391,0.0,1.73913,3.478261,6.956522,1.73913,6.956522,1.73913,1.73913,19.130435,3.478261,1.73913,0.0,0.0,3.478261,0.0,5.217391,6.956522,3.478261,3.478261,12.173913,0.0,1.73913,6.956522,6.956522,0.0,8.695652,0.0,10.434783,11.257639,7.397877,9.327758,6.11129,4.824702,4.503056,5.789643,6.11129,2.573175,7.719524,2.573175,5.789643,6.11129,6.11129,1.608234,6.432937,4.824702,3.859762,8.041171,2.251528,6.432937,5.467996,2.573175,4.824702,2.573175,1.608234,6.11129,1.286587,0.643294,3.859762,3.859762,3.216468,1.608234,4.181409,4.181409,4.503056,0.321647,1.929881,0.643294,5.146349,0.321647,5.146349,3.859762,2.251528,2.251528,3.216468,2.251528,2.251528,3.216468,6.754583,3.216468,2.573175,6.432937,2.894821,4.181409,2.573175,2.251528,2.573175,2.894821,4.181409,1.286587,1.929881,4.503056,1.608234,0.96494,2.894821,1.608234,1.286587,3.859762,1.929881,0.643294,2.251528,1.608234,1.286587,1.286587,0.643294,2.251528,1.929881,0.643294,2.894821,3.859762,3.216468,1.929881,1.286587,2.573175,1.286587,2.251528,1.286587,1.608234,4.824702,0.96494,3.216468,1.608234,1.608234,0.96494,2.251528,0.96494,1.929881,1.608234,2.573175,0.643294,1.929881,1.286587,1.608234,0.643294,0.643294,3.859762,2.894821,4.181409,2.573175,0.321647,1.929881,0.643294,3.859762,0.96494,0.321647,1.286587,2.894821,0.96494,1.286587
AUSTEN_EMMA_003__original,AUSTEN_EMMA_003,original,austen,Jane Austen,emma,Emma,pass,,555,38,13,14.605263,11.5,12.436236,0.421053,0.078947,239.63964,79.279279,10.810811,1.801802,23.423423,14.414414,3.603604,55.855856,9.009009,0.0,0.410811,9.678061,0.261261,4.030631,0.084685,0.497297,1.801802,0.0,21.621622,55.855856,21.621622,10.810811,14.414414,46.846847,25.225225,9.009009,12.612613,16.216216,7.207207,5.405405,45.045045,5.405405,18.018018,19.81982,1.801802,1.801802,14.414414,25.225225,5.405405,9.009009,7.207207,48.648649,5.405405,0.0,3.603604,1.801802,9.009009,1.801802,0.0,5.405405,5.405405,10.810811,0.0,1.801802,3.603604,0.0,7.207207,9.009009,0.0,14.414414,1.801802,0.0,0.0,9.009009,10.810811,5.405405,0.0,0.0,5.405405,0.0,0.0,25.225225,5.405405,1.801802,0.0,0.0,5.405405,12.031626,5.500172,6.187693,4.125129,3.093847,2.750086,3.093847,9.28154,2.750086,5.156411,2.406325,8.937779,2.750086,3.781368,2.406325,4.81265,4.81265,4.81265,7.906497,1.375043,1.718804,4.81265,2.062564,6.187693,2.062564,2.406325,7.562736,2.062564,1.718804,2.062564,4.125129,2.062564,3.093847,2.406325,2.750086,0.343761,1.375043,1.031282,2.406325,6.875215,1.375043,5.156411,2.406325,1.375043,2.062564,1.031282,1.718804,3.781368,1.718804,11.687865,1.718804,1.031282,10.656583,1.718804,3.437607,1.031282,2.750086,1.375043,2.406325,3.093847,2.062564,2.406325,2.750086,1.031282,2.406325,1.718804,3.093847,0.687521,1.031282,1.031282,0.687521,1.718804,2.406325,1.718804,2.062564,0.343761,4.46889,3.093847,1.718804,2.062564,2.062564,3.093847,3.093847,3.781368,4.125129,4.46889,3.437607,2.750086,1.375043,5.500172,1.375043,0.687521,4.125129,0.0,2.406325,1.375043,2.062564,2.062564,6.187693,3.781368,1.031282,1.031282,1.031282,1.031282,0.0,0.343761,4.125129,2.062564,8.250258,1.031282,2.062564,0.343761,1.718804,1.718804,1.031282,1.375043,0.687521,2.062564,3.093847,1.031282
AUSTEN_EMMA_003__paraphrase,AUSTEN_EMMA_003,paraphrase,austen,Jane Austen,emma,Emma,pass,,509,39,13,13.051282,11,10.80586,0.461538,0.051282,261.29666,80.550098,11.787819,3.929273,25.540275,15.717092,3.929273,62.868369,9.823183,0.0,0.491159,11.081055,0.355599,4.434185,0.137525,0.465619,1.964637,0.0,27.504912,62.868369,19.646365,11.787819,13.752456,29.469548,27.504912,1.964637,13.752456,15.717092,9.823183,3.929273,47.151277,5.89391,13.752456,9.823183,1.964637,1.964637,11.787819,23.575639,1.964637,5.89391,3.929273,51.08055,0.0,3.929273,3.929273,0.0,7.858546,3.929273,0.0,3.929273,7.858546,3.929273,1.964637,1.964637,3.929273,0.0,7.858546,13.752456,0.0,17.681729,3.929273,0.0,0.0,9.823183,11.787819,5.89391,1.964637,0.0,3.929273,0.0,1.964637,19.646365,11.787819,0.0,0.0,0.0,1.964637,7.977801,5.202914,6.243496,3.468609,3.81547,2.081165,3.468609,5.549775,2.774887,4.856053,2.428026,4.856053,2.428026,3.121748,1.734305,3.81547,3.468609,2.428026,5.896635,0.693722,2.081165,4.856053,1.387444,3.468609,1.387444,2.428026,6.937218,1.734305,1.734305,3.468609,4.162331,2.428026,2.774887,3.121748,2.428026,1.734305,0.346861,0.693722,2.081165,6.937218,1.040583,4.162331,1.387444,1.387444,2.428026,1.040583,2.428026,2.428026,3.121748,11.793271,1.040583,1.387444,11.099549,3.121748,5.549775,1.387444,2.081165,2.081165,2.774887,6.590357,1.734305,2.428026,1.734305,0.693722,2.428026,3.121748,2.428026,1.734305,0.693722,1.387444,0.693722,0.693722,1.387444,1.387444,2.774887,0.346861,3.121748,2.081165,1.734305,4.509192,0.346861,4.162331,2.428026,1.734305,3.468609,3.121748,2.081165,2.081165,0.693722,5.202914,0.693722,0.693722,1.387444,2.081165,1.734305,2.081165,2.081165,0.0,3.468609,2.081165,1.387444,1.040583,1.040583,0.346861,0.346861,0.693722,3.81547,4.162331,8.671523,2.428026,2.774887,1.040583,1.734305,2.428026,0.0,1.387444,1.387444,4.162331,1.387444,0.346861
