text_id,passage_id,condition,author_id,author_name,work_id,work_title,qc_status,qc_flags,split
AUSTEN_EMMA_001__original,AUSTEN_EMMA_001,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_001__paraphrase,AUSTEN_EMMA_001,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_001__modernize,AUSTEN_EMMA_001,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_001__simplify,AUSTEN_EMMA_001,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_002__original,AUSTEN_EMMA_002,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_002__paraphrase,AUSTEN_EMMA_002,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_002__modernize,AUSTEN_EMMA_002,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_002__simplify,AUSTEN_EMMA_002,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_003__original,AUSTEN_EMMA_003,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_003__paraphrase,AUSTEN_EMMA_003,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_003__modernize,AUSTEN_EMMA_003,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_003__simplify,AUSTEN_EMMA_003,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_004__original,AUSTEN_EMMA_004,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_004__paraphrase,AUSTEN_EMMA_004,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_004__modernize,AUSTEN_EMMA_004,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_004__simplify,AUSTEN_EMMA_004,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_005__original,AUSTEN_EMMA_005,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_005__paraphrase,AUSTEN_EMMA_005,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_005__modernize,AUSTEN_EMMA_005,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_005__simplify,AUSTEN_EMMA_005,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_006__original,AUSTEN_EMMA_006,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_006__paraphrase,AUSTEN_EMMA_006,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_006__modernize,AUSTEN_EMMA_006,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_006__simplify,AUSTEN_EMMA_006,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_007__original,AUSTEN_EMMA_007,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_007__paraphrase,AUSTEN_EMMA_007,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_007__modernize,AUSTEN_EMMA_007,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_007__simplify,AUSTEN_EMMA_007,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_008__original,AUSTEN_EMMA_008,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_008__paraphrase,AUSTEN_EMMA_008,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_008__modernize,AUSTEN_EMMA_008,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_008__simplify,AUSTEN_EMMA_008,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_009__original,AUSTEN_EMMA_009,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_009__paraphrase,AUSTEN_EMMA_009,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_009__modernize,AUSTEN_EMMA_009,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_009__simplify,AUSTEN_EMMA_009,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_010__original,AUSTEN_EMMA_010,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_010__paraphrase,AUSTEN_EMMA_010,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_010__modernize,AUSTEN_EMMA_010,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_010__simplify,AUSTEN_EMMA_010,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_011__original,AUSTEN_EMMA_011,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_011__paraphrase,AUSTEN_EMMA_011,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
