text_id,passage_id,condition,true_author,centroid_author,burrows_delta,is_true_author_centroid,is_nearest_centroid,nearest_centroid_author,nearest_centroid_correct
AUSTEN_EMMA_001__original,AUSTEN_EMMA_001,original,austen,austen,0.659247153,1,1,austen,1
AUSTEN_EMMA_001__original,AUSTEN_EMMA_001,original,austen,dickens,0.698973225,0,0,austen,1
AUSTEN_EMMA_001__original,AUSTEN_EMMA_001,original,austen,poe,0.735487585,0,0,austen,1
AUSTEN_EMMA_001__original,AUSTEN_EMMA_001,original,austen,shelley,0.695634375,0,0,austen,1
AUSTEN_EMMA_001__original,AUSTEN_EMMA_001,original,austen,twain,0.763220813,0,0,austen,1
AUSTEN_EMMA_001__original,AUSTEN_EMMA_001,original,austen,wilde,0.669885032,0,0,austen,1
AUSTEN_EMMA_002__original,AUSTEN_EMMA_002,original,austen,austen,0.642441548,1,1,austen,1
AUSTEN_EMMA_002__original,AUSTEN_EMMA_002,original,austen,dickens,0.860022451,0,0,austen,1
AUSTEN_EMMA_002__original,AUSTEN_EMMA_002,original,austen,poe,0.942088907,0,0,austen,1
AUSTEN_EMMA_002__original,AUSTEN_EMMA_002,original,austen,shelley,0.911249413,0,0,austen,1
AUSTEN_EMMA_002__original,AUSTEN_EMMA_002,original,austen,twain,0.907729207,0,0,austen,1
AUSTEN_EMMA_002__original,AUSTEN_EMMA_002,original,austen,wilde,0.841425585,0,0,austen,1
AUSTEN_EMMA_003__original,AUSTEN_EMMA_003,original,austen,austen,1.084267568,1,1,austen,1
AUSTEN_EMMA_003__original,AUSTEN_EMMA_003,original,austen,dickens,1.160714532,0,0,austen,1
AUSTEN_EMMA_003__original,AUSTEN_EMMA_003,original,austen,poe,1.266763668,0,0,austen,1
AUSTEN_EMMA_003__original,AUSTEN_EMMA_003,original,austen,shelley,1.263978762,0,0,austen,1
AUSTEN_EMMA_003__original,AUSTEN_EMMA_003,original,austen,twain,1.266737018,0,0,austen,1
AUSTEN_EMMA_003__original,AUSTEN_EMMA_003,original,austen,wilde,1.192559112,0,0,austen,1
AUSTEN_EMMA_004__original,AUSTEN_EMMA_004,original,austen,austen,0.664623157,1,1,austen,1
AUSTEN_EMMA_004__original,AUSTEN_EMMA_004,original,austen,dickens,0.855601633,0,0,austen,1
AUSTEN_EMMA_004__original,AUSTEN_EMMA_004,original,austen,poe,0.954459041,0,0,austen,1
AUSTEN_EMMA_004__original,AUSTEN_EMMA_004,original,austen,shelley,0.977549245,0,0,austen,1
AUSTEN_EMMA_004__original,AUSTEN_EMMA_004,original,austen,twain,0.866928402,0,0,austen,1
AUSTEN_EMMA_004__original,AUSTEN_EMMA_004,original,austen,wilde,0.825968446,0,0,austen,1
AUSTEN_EMMA_005__original,AUSTEN_EMMA_005,original,austen,austen,0.773842687,1,0,wilde,0
AUSTEN_EMMA_005__original,AUSTEN_EMMA_005,original,austen,dickens,0.845877767,0,0,wilde,0
AUSTEN_EMMA_005__original,AUSTEN_EMMA_005,original,austen,poe,0.913147976,0,0,wilde,0
AUSTEN_EMMA_005__original,AUSTEN_EMMA_005,original,austen,shelley,0.904661851,0,0,wilde,0
