feature_set,author_id,from_condition,to_condition,burrows_delta_shift,euclidean_z_shift,feature_count
function_word,austen,original,paraphrase,0.112838895,1.137820225,57
function_word,austen,original,modernize,0.101486321,1.031452606,57
function_word,austen,original,simplify,0.111743671,1.071792381,57
function_word,dickens,original,paraphrase,0.101275599,0.969567039,57
function_word,dickens,original,modernize,0.069210017,0.659943904,57
function_word,dickens,original,simplify,0.075463669,0.753079569,57
function_word,poe,original,paraphrase,0.145127115,1.627497894,57
function_word,poe,original,modernize,0.118181858,1.314606136,57
function_word,poe,original,simplify,0.138378964,1.507226948,57
function_word,shelley,original,paraphrase,0.133126057,1.325930223,57
function_word,shelley,original,modernize,0.083238759,0.927427473,57
function_word,shelley,original,simplify,0.100192886,1.137516015,57
function_word,twain,original,paraphrase,0.212322865,2.120231133,57
function_word,twain,original,modernize,0.132114318,1.345566134,57
function_word,twain,original,simplify,0.166617141,1.645681238,57
function_word,wilde,original,paraphrase,0.138174134,1.346170823,57
function_word,wilde,original,modernize,0.119931619,1.203752514,57
function_word,wilde,original,simplify,0.117743306,1.247793029,57
all_features,austen,original,paraphrase,0.123346113,2.451337373,205
all_features,austen,original,modernize,0.106539904,2.06545772,205
all_features,austen,original,simplify,0.115571498,2.218941485,205
all_features,dickens,original,paraphrase,0.112658997,2.305853759,205
all_features,dickens,original,modernize,0.077131775,1.703254258,205
all_features,dickens,original,simplify,0.088185272,1.87234786,205
all_features,poe,original,paraphrase,0.174801519,3.440197039,205
all_features,poe,original,modernize,0.122969352,2.538549972,205
all_features,poe,original,simplify,0.150135699,2.967338674,205
all_features,shelley,original,paraphrase,0.142813577,2.792668724,205
all_features,shelley,original,modernize,0.092760433,1.882036368,205
all_features,shelley,original,simplify,0.110876786,2.243460176,205
all_features,twain,original,paraphrase,0.20919918,4.001825473,205
all_features,twain,original,modernize,0.147333714,2.881066149,205
all_features,twain,original,simplify,0.177065369,3.418202229,205
all_features,wilde,original,paraphrase,0.179073648,3.356724096,205
all_features,wilde,original,modernize,0.124525126,2.32547001,205
all_features,wilde,original,simplify,0.129934477,2.490089748,205
