metric,value
source_layer,canonical_gutenberg
candidate_rows,1879
candidate_pass_length,1879
candidate_fail_length,0
candidate_fail_low_sentence_count,0
candidate_passage_csv_bytes,6564123
candidate_passage_csv_sha256,0b0e457db3880318685c1401ce81c3175bbc8ea0550ad8e686321781f2c49d95
candidate_metadata_csv_bytes,573765
candidate_metadata_csv_sha256,22e648806a0cfb68d588a8bf4c34e23dd96ccf422cf8854f1072d085b6a26907
target_min_candidates_per_author,120
authors_meeting_120_candidate_target,6
authors_below_120_candidate_target,0
