source_id,extraction_tool,extraction_status,pdf_pages,text_bytes_utf8,chars,words,sha256,error_or_note
src_001_austen,pdftotext -layout -enc UTF-8,extracted,4205,7950615,7882918,1391333,b238b09dcd50f1fdedb9813f6cc9b15fb81892e9ce918ac8b6d8b42576ae0bb0,
src_002_dickens,pdftotext -layout -enc UTF-8,extracted,198,595749,580392,103839,7edc5fa12b4ed574e00b9d3a313d9050488c7657ae63d258594b6c62014ee919,
src_003_dickens,pdftotext -layout -enc UTF-8,extracted,767,2007498,1999729,359206,278bee2fcae1fb08cd38a3ca0279f7cae14c7d12b37c9abfdb3b143188bf4ed9,
src_004_dickens,pdftotext -layout -enc UTF-8,extracted,817,1882498,1881634,338248,2150d8fec0e9d27933e5f3c32f4259dd035dc17799ba61c3d1bbcfbb621044e5,
src_005_dickens,pdftotext -layout -enc UTF-8,extracted,975,1860323,1856867,327848,1ada85fe4f82c250798a40e306e5a0c7b0ef334aa248f39be5dc4a07f45714ad,
src_006_dickens,pdftotext -layout -enc UTF-8,extracted,261,544226,544226,94232,0a6ba5f468a3776f68bd00a968c36e5d5c44d2963699c1f46e30564ce0952ce3,
src_007_dickens,pdftotext -layout -enc UTF-8,extracted,561,1477428,1477428,267441,cc3451613dd5e90f46c91e6ced18048faaf7cda95484225993a0ba13e8037e4a,
src_008_dickens,pdftotext -layout -enc UTF-8,extracted,193,587653,587653,105971,db6837c299da31836efa267ae88a7cb4a306047a3a6af0f0de43bd89c1e6f95a,
src_009_dickens,pdftotext -layout -enc UTF-8,extracted,87,171771,171771,30782,22cdcbf65ab40a6d9997fc28f66061780d1016755714cf029757d7f6df3cb720,
src_010_dickens,pdftotext -layout -enc UTF-8,extracted,88,183478,183478,32811,73a63a9ad9b260fbb75c9e6fd4f2f4048a50fa74dbbd5f132f0d342d6f10f403,
src_011_dickens,pdftotext -layout -enc UTF-8,extracted,1040,1970699,1970699,356283,36e78f2f86073c9cd8c6366a291b2bdd9835e2a1d4fec4f5129e620bc8e31c47,
src_012_dickens,pdftotext -layout -enc UTF-8,extracted,373,896711,896711,155941,39529768303cb0d5a42967fa6c22572069a5570aa6b3243201328a987e7ad2ed,
src_013_dickens,pdftotext -layout -enc UTF-8,extracted,620,1512474,1512474,272030,d3190f5116046a936f4d08f7d865fe5a5b4bd868e8ab475eb580856070a242b3,
src_014_dickens,pdftotext -layout -enc UTF-8,extracted,134,254119,254119,45723,6590c34d59bcfb39477ba5902d2fcd37a4a27463600c185e3f14ff65da4fd9aa,
src_015_dickens,pdftotext -layout -enc UTF-8,extracted,954,1979701,1979701,357771,ce311e60d812e546c6986d1563d9835464bbb692f7f763004a5ab5cd0f62d0ff,
src_016_dickens,pdftotext -layout -enc UTF-8,extracted,999,1747935,1747935,313236,81de204b6b43e51d59018a439c7c243c2a878a15e3a5c7fbb8c5c1b7637b6a0f,
src_017_dickens,pdftotext -layout -enc UTF-8,extracted,988,1848847,1848847,332981,6a5ad3fe0de4fae0458fae2c632ae6059f935a10a394d98a9fefc473d2402353,
src_018_dickens,pdftotext -layout -enc UTF-8,extracted,950,1927011,1927011,343690,d9b1249ca26ff627a978d08f7eea462da26c25764e1b1686fcba9ffc5b86de78,
src_019_dickens,pdftotext -layout -enc UTF-8,extracted,82,187342,187342,34159,6a7ff7da317d636f11a5211c41fab313ee9d7f2738d84b7ec3649b2d5e7019b2,
src_020_dickens,pdftotext -layout -enc UTF-8,extracted,639,1518305,1518305,267333,8f0dbd2a524ed95a4892dd8fe4eacbb976cc02ca8494a2592cce7c4eddd6f58a,
src_021_dickens,pdftotext -layout -enc UTF-8,extracted,129,184454,184454,32485,b0b9f41f823da20dcc78d194aaee3b0cc57d1b3c711120440d99bd7189904a39,
src_022_dickens,pdftotext -layout -enc UTF-8,extracted,610,798777,798777,142716,7ec5fdb16800f2667ae1b64118ea625653d4eaad2773e1f5e8b702319f2bcfb3,
src_023_dickens,pdftotext -layout -enc UTF-8,extracted,960,1041601,1041601,188017,8a341eb6e6be93ed1826f63b453769c183e376c60b4723c20bdf12e622963fb4,
src_024_poe,pdftotext -layout -enc UTF-8,extracted,1170,3143495,3134381,592442,5ef66de8f814e21a6ae1ee3cb51b04b914f5f42c2d79ccf76f88f00e0c97f7be,
src_025_twain,pdftotext -layout -enc UTF-8,extracted,428,669072,667274,108249,0248f1e5b65622e3e5d9045a49c84b4595f3a868f69272b794fe041fa361b96e,
src_026_shelley,pdftotext -layout -enc UTF-8,extracted,4135,10079928,10067743,1669251,1bb403ebf7d587d00f2be862169683d2749b50828716d3f247d60f059a14ff53,
src_027_wilde,pdftotext -layout -enc UTF-8,extracted,396,707775,706506,102356,a2e9430b0c07c7d70c37c5bc994348d64677febfc0c6acb5dad93a80672ef5af,
src_028_wilde,pdftotext -layout -enc UTF-8,extracted,105,229832,228568,40132,a5be5c9766f6c5d21a2638f75351a780e33980d096a2f164856e768420147671,
src_029_wilde,pdftotext -layout -enc UTF-8,extracted,31,85813,85534,10867,2297b6f4670cdd3ef6034943bcf0d66a071656a786449afb4a2dd9da86e771f0,
