feature_family,author_id,from_condition,to_condition,centroid_mean_abs_shift,centroid_euclidean_shift,feature_count
char3,austen,original,paraphrase,0.132490033,2.029656154,120
char3,austen,original,modernize,0.109763747,1.585188878,120
char3,austen,original,simplify,0.113215876,1.672472061,120
char3,dickens,original,paraphrase,0.117955569,1.864905873,120
char3,dickens,original,modernize,0.080470748,1.348017188,120
char3,dickens,original,simplify,0.089800905,1.407047766,120
char3,poe,original,paraphrase,0.183205042,2.625362497,120
char3,poe,original,modernize,0.130931707,1.96533009,120
char3,poe,original,simplify,0.147793589,2.095582744,120
char3,shelley,original,paraphrase,0.149644468,2.268736676,120
char3,shelley,original,modernize,0.101002801,1.540040145,120
char3,shelley,original,simplify,0.119934827,1.821612511,120
char3,twain,original,paraphrase,0.206110897,2.838018255,120
char3,twain,original,modernize,0.153999598,2.267389956,120
char3,twain,original,simplify,0.178421671,2.569192073,120
char3,wilde,original,paraphrase,0.191697913,2.707004987,120
char3,wilde,original,modernize,0.121569187,1.773143799,120
char3,wilde,original,simplify,0.133192323,1.925468115,120
function_word,austen,original,paraphrase,0.112838895,1.137820225,57
function_word,austen,original,modernize,0.101486321,1.031452606,57
function_word,austen,original,simplify,0.111743671,1.071792381,57
function_word,dickens,original,paraphrase,0.101275599,0.969567039,57
function_word,dickens,original,modernize,0.069210017,0.659943904,57
function_word,dickens,original,simplify,0.075463669,0.753079569,57
function_word,poe,original,paraphrase,0.145127115,1.627497894,57
function_word,poe,original,modernize,0.118181858,1.314606136,57
function_word,poe,original,simplify,0.138378964,1.507226948,57
function_word,shelley,original,paraphrase,0.133126057,1.325930223,57
function_word,shelley,original,modernize,0.083238759,0.927427473,57
function_word,shelley,original,simplify,0.100192886,1.137516015,57
function_word,twain,original,paraphrase,0.212322865,2.120231133,57
function_word,twain,original,modernize,0.132114318,1.345566134,57
function_word,twain,original,simplify,0.166617141,1.645681238,57
function_word,wilde,original,paraphrase,0.138174134,1.346170823,57
function_word,wilde,original,modernize,0.119931619,1.203752514,57
function_word,wilde,original,simplify,0.117743306,1.247793029,57
length_rhythm,austen,original,paraphrase,0.048331092,0.188099982,8
length_rhythm,austen,original,modernize,0.060509736,0.296315492,8
length_rhythm,austen,original,simplify,0.105551324,0.349848355,8
length_rhythm,dickens,original,paraphrase,0.077349924,0.283749349,8
length_rhythm,dickens,original,modernize,0.042320167,0.145948489,8
length_rhythm,dickens,original,simplify,0.071242753,0.272138926,8
length_rhythm,poe,original,paraphrase,0.152668232,0.690482319,8
length_rhythm,poe,original,modernize,0.139876774,0.712730221,8
length_rhythm,poe,original,simplify,0.231399248,1.114193657,8
length_rhythm,shelley,original,paraphrase,0.110108785,0.400297395,8
length_rhythm,shelley,original,modernize,0.05809132,0.218967529,8
length_rhythm,shelley,original,simplify,0.083448647,0.310003452,8
length_rhythm,twain,original,paraphrase,0.072683514,0.240854386,8
length_rhythm,twain,original,modernize,0.074596076,0.308298668,8
length_rhythm,twain,original,simplify,0.1042755,0.53903448,8
length_rhythm,wilde,original,paraphrase,0.075131465,0.232073995,8
length_rhythm,wilde,original,modernize,0.07379259,0.240522072,8
length_rhythm,wilde,original,simplify,0.080823132,0.350609719,8
lexical_richness,austen,original,paraphrase,0.092593377,0.243827208,6
lexical_richness,austen,original,modernize,0.049222645,0.138913594,6
lexical_richness,austen,original,simplify,0.052209408,0.175470151,6
lexical_richness,dickens,original,paraphrase,0.057392689,0.170807832,6
lexical_richness,dickens,original,modernize,0.039940615,0.123960383,6
lexical_richness,dickens,original,simplify,0.039200626,0.117127695,6
lexical_richness,poe,original,paraphrase,0.31147696,1.007584767,6
lexical_richness,poe,original,modernize,0.08559312,0.235520532,6
lexical_richness,poe,original,simplify,0.175807103,0.464871067,6
lexical_richness,shelley,original,paraphrase,0.265361178,0.688393242,6
lexical_richness,shelley,original,modernize,0.146810608,0.389010285,6
lexical_richness,shelley,original,simplify,0.160557264,0.424925931,6
lexical_richness,twain,original,paraphrase,0.151127951,0.411576259,6
lexical_richness,twain,original,modernize,0.105310696,0.319359265,6
lexical_richness,twain,original,simplify,0.111756484,0.299461442,6
lexical_richness,wilde,original,paraphrase,0.473612951,1.21952981,6
lexical_richness,wilde,original,modernize,0.19368124,0.485326309,6
lexical_richness,wilde,original,simplify,0.156050232,0.436364749,6
punctuation,austen,original,paraphrase,0.146298074,0.592241207,10
punctuation,austen,original,modernize,0.175932865,0.726640581,10
punctuation,austen,original,simplify,0.216237099,0.862796053,10
punctuation,dickens,original,paraphrase,0.176975096,0.840802671,10
punctuation,dickens,original,modernize,0.152355206,0.779526048,10
punctuation,dickens,original,simplify,0.196325418,0.91723069,10
punctuation,poe,original,paraphrase,0.152351306,0.649146507,10
punctuation,poe,original,modernize,0.087611197,0.501946929,10
punctuation,poe,original,simplify,0.17239858,0.744959638,10
punctuation,shelley,original,paraphrase,0.059966374,0.318524868,10
punctuation,shelley,original,modernize,0.041072614,0.159661779,10
punctuation,shelley,original,simplify,0.047012516,0.212618268,10
punctuation,twain,original,paraphrase,0.28738774,1.424368524,10
punctuation,twain,original,modernize,0.201697985,0.905667361,10
punctuation,twain,original,simplify,0.2517317,1.14233743,10
punctuation,wilde,original,paraphrase,0.16749173,0.651044795,10
punctuation,wilde,original,modernize,0.148500963,0.551764537,10
punctuation,wilde,original,simplify,0.177425862,0.724626801,10
register_marker,austen,original,paraphrase,0.137535615,0.386436269,4
register_marker,austen,original,modernize,0.086391963,0.233004179,4
register_marker,austen,original,simplify,0.104206179,0.283194167,4
register_marker,dickens,original,paraphrase,0.108702624,0.287035296,4
register_marker,dickens,original,modernize,0.027199026,0.063802628,4
register_marker,dickens,original,simplify,0.058010761,0.172289366,4
register_marker,poe,original,paraphrase,0.240935042,0.616679776,4
register_marker,poe,original,modernize,0.062965408,0.195241635,4
register_marker,poe,original,simplify,0.131241063,0.359723814,4
register_marker,shelley,original,paraphrase,0.164640194,0.39769359,4
register_marker,shelley,original,modernize,0.098655785,0.292314658,4
register_marker,shelley,original,simplify,0.131377373,0.314687182,4
register_marker,twain,original,paraphrase,0.422001919,1.099385235,4
register_marker,twain,original,modernize,0.236832686,0.575903588,4
register_marker,twain,original,simplify,0.342140785,0.830615259,4
register_marker,wilde,original,paraphrase,0.178193988,0.403204847,4
register_marker,wilde,original,modernize,0.216452056,0.465741478,4
register_marker,wilde,original,simplify,0.146243872,0.312580673,4
