feature_family,feature_count,model,split,condition,accuracy,macro_f1,weighted_f1,rows,train_condition,scaler_fit_scope
char3,120,nearest_centroid,validation,original,0.611111,0.59829,0.59829,54,original,train_original_only
char3,120,nearest_centroid,validation,paraphrase,0.388889,0.348802,0.348802,54,original,train_original_only
char3,120,nearest_centroid,validation,modernize,0.555556,0.539813,0.539813,54,original,train_original_only
char3,120,nearest_centroid,validation,simplify,0.481481,0.444659,0.444659,54,original,train_original_only
char3,120,nearest_centroid,test,original,0.648148,0.649932,0.649932,54,original,train_original_only
char3,120,nearest_centroid,test,paraphrase,0.37037,0.330753,0.330753,54,original,train_original_only
char3,120,nearest_centroid,test,modernize,0.481481,0.46412,0.46412,54,original,train_original_only
char3,120,nearest_centroid,test,simplify,0.5,0.483874,0.483874,54,original,train_original_only
char3,120,diagonal_gaussian_nb,validation,original,0.574074,0.559045,0.559045,54,original,train_original_only
char3,120,diagonal_gaussian_nb,validation,paraphrase,0.481481,0.443893,0.443893,54,original,train_original_only
char3,120,diagonal_gaussian_nb,validation,modernize,0.518519,0.503738,0.503738,54,original,train_original_only
char3,120,diagonal_gaussian_nb,validation,simplify,0.444444,0.436559,0.436559,54,original,train_original_only
char3,120,diagonal_gaussian_nb,test,original,0.722222,0.725259,0.725259,54,original,train_original_only
char3,120,diagonal_gaussian_nb,test,paraphrase,0.351852,0.334444,0.334444,54,original,train_original_only
char3,120,diagonal_gaussian_nb,test,modernize,0.462963,0.459058,0.459058,54,original,train_original_only
char3,120,diagonal_gaussian_nb,test,simplify,0.462963,0.426604,0.426604,54,original,train_original_only
char3,120,linear_discriminant_shrinkage,validation,original,0.592593,0.58155,0.58155,54,original,train_original_only
char3,120,linear_discriminant_shrinkage,validation,paraphrase,0.407407,0.360114,0.360114,54,original,train_original_only
char3,120,linear_discriminant_shrinkage,validation,modernize,0.518519,0.508893,0.508893,54,original,train_original_only
char3,120,linear_discriminant_shrinkage,validation,simplify,0.444444,0.422737,0.422737,54,original,train_original_only
char3,120,linear_discriminant_shrinkage,test,original,0.648148,0.649932,0.649932,54,original,train_original_only
char3,120,linear_discriminant_shrinkage,test,paraphrase,0.407407,0.363905,0.363905,54,original,train_original_only
char3,120,linear_discriminant_shrinkage,test,modernize,0.481481,0.47076,0.47076,54,original,train_original_only
char3,120,linear_discriminant_shrinkage,test,simplify,0.481481,0.46292,0.46292,54,original,train_original_only
function_word,57,nearest_centroid,validation,original,0.574074,0.571303,0.571303,54,original,train_original_only
function_word,57,nearest_centroid,validation,paraphrase,0.351852,0.322288,0.322288,54,original,train_original_only
function_word,57,nearest_centroid,validation,modernize,0.462963,0.454143,0.454143,54,original,train_original_only
function_word,57,nearest_centroid,validation,simplify,0.444444,0.39196,0.39196,54,original,train_original_only
function_word,57,nearest_centroid,test,original,0.592593,0.590119,0.590119,54,original,train_original_only
function_word,57,nearest_centroid,test,paraphrase,0.5,0.459137,0.459137,54,original,train_original_only
function_word,57,nearest_centroid,test,modernize,0.518519,0.499919,0.499919,54,original,train_original_only
function_word,57,nearest_centroid,test,simplify,0.537037,0.510918,0.510918,54,original,train_original_only
function_word,57,diagonal_gaussian_nb,validation,original,0.648148,0.639775,0.639775,54,original,train_original_only
function_word,57,diagonal_gaussian_nb,validation,paraphrase,0.425926,0.409462,0.409462,54,original,train_original_only
function_word,57,diagonal_gaussian_nb,validation,modernize,0.518519,0.503551,0.503551,54,original,train_original_only
function_word,57,diagonal_gaussian_nb,validation,simplify,0.555556,0.525108,0.525108,54,original,train_original_only
function_word,57,diagonal_gaussian_nb,test,original,0.555556,0.552546,0.552546,54,original,train_original_only
function_word,57,diagonal_gaussian_nb,test,paraphrase,0.5,0.462425,0.462425,54,original,train_original_only
function_word,57,diagonal_gaussian_nb,test,modernize,0.5,0.483229,0.483229,54,original,train_original_only
function_word,57,diagonal_gaussian_nb,test,simplify,0.425926,0.387838,0.387838,54,original,train_original_only
function_word,57,linear_discriminant_shrinkage,validation,original,0.592593,0.584211,0.584211,54,original,train_original_only
function_word,57,linear_discriminant_shrinkage,validation,paraphrase,0.351852,0.335354,0.335354,54,original,train_original_only
function_word,57,linear_discriminant_shrinkage,validation,modernize,0.425926,0.414106,0.414106,54,original,train_original_only
function_word,57,linear_discriminant_shrinkage,validation,simplify,0.444444,0.395253,0.395253,54,original,train_original_only
function_word,57,linear_discriminant_shrinkage,test,original,0.574074,0.566936,0.566936,54,original,train_original_only
function_word,57,linear_discriminant_shrinkage,test,paraphrase,0.462963,0.42516,0.42516,54,original,train_original_only
function_word,57,linear_discriminant_shrinkage,test,modernize,0.518519,0.499919,0.499919,54,original,train_original_only
function_word,57,linear_discriminant_shrinkage,test,simplify,0.537037,0.514471,0.514471,54,original,train_original_only
length_rhythm,8,nearest_centroid,validation,original,0.351852,0.322724,0.322724,54,original,train_original_only
length_rhythm,8,nearest_centroid,validation,paraphrase,0.333333,0.311953,0.311953,54,original,train_original_only
length_rhythm,8,nearest_centroid,validation,modernize,0.388889,0.381944,0.381944,54,original,train_original_only
length_rhythm,8,nearest_centroid,validation,simplify,0.333333,0.261857,0.261857,54,original,train_original_only
length_rhythm,8,nearest_centroid,test,original,0.314815,0.284628,0.284628,54,original,train_original_only
length_rhythm,8,nearest_centroid,test,paraphrase,0.333333,0.312817,0.312817,54,original,train_original_only
length_rhythm,8,nearest_centroid,test,modernize,0.37037,0.367094,0.367094,54,original,train_original_only
length_rhythm,8,nearest_centroid,test,simplify,0.314815,0.27326,0.27326,54,original,train_original_only
length_rhythm,8,diagonal_gaussian_nb,validation,original,0.296296,0.271934,0.271934,54,original,train_original_only
length_rhythm,8,diagonal_gaussian_nb,validation,paraphrase,0.314815,0.281279,0.281279,54,original,train_original_only
length_rhythm,8,diagonal_gaussian_nb,validation,modernize,0.259259,0.231613,0.231613,54,original,train_original_only
length_rhythm,8,diagonal_gaussian_nb,validation,simplify,0.222222,0.211592,0.211592,54,original,train_original_only
length_rhythm,8,diagonal_gaussian_nb,test,original,0.388889,0.335566,0.335566,54,original,train_original_only
length_rhythm,8,diagonal_gaussian_nb,test,paraphrase,0.314815,0.276525,0.276525,54,original,train_original_only
length_rhythm,8,diagonal_gaussian_nb,test,modernize,0.407407,0.367884,0.367884,54,original,train_original_only
length_rhythm,8,diagonal_gaussian_nb,test,simplify,0.314815,0.284029,0.284029,54,original,train_original_only
length_rhythm,8,linear_discriminant_shrinkage,validation,original,0.333333,0.295865,0.295865,54,original,train_original_only
length_rhythm,8,linear_discriminant_shrinkage,validation,paraphrase,0.314815,0.28644,0.28644,54,original,train_original_only
length_rhythm,8,linear_discriminant_shrinkage,validation,modernize,0.407407,0.389375,0.389375,54,original,train_original_only
length_rhythm,8,linear_discriminant_shrinkage,validation,simplify,0.296296,0.258239,0.258239,54,original,train_original_only
length_rhythm,8,linear_discriminant_shrinkage,test,original,0.333333,0.30105,0.30105,54,original,train_original_only
length_rhythm,8,linear_discriminant_shrinkage,test,paraphrase,0.351852,0.326356,0.326356,54,original,train_original_only
length_rhythm,8,linear_discriminant_shrinkage,test,modernize,0.351852,0.336507,0.336507,54,original,train_original_only
length_rhythm,8,linear_discriminant_shrinkage,test,simplify,0.37037,0.317693,0.317693,54,original,train_original_only
lexical_richness,6,nearest_centroid,validation,original,0.240741,0.201521,0.201521,54,original,train_original_only
lexical_richness,6,nearest_centroid,validation,paraphrase,0.148148,0.049383,0.049383,54,original,train_original_only
lexical_richness,6,nearest_centroid,validation,modernize,0.277778,0.224641,0.224641,54,original,train_original_only
lexical_richness,6,nearest_centroid,validation,simplify,0.296296,0.241284,0.241284,54,original,train_original_only
lexical_richness,6,nearest_centroid,test,original,0.37037,0.368784,0.368784,54,original,train_original_only
lexical_richness,6,nearest_centroid,test,paraphrase,0.166667,0.10056,0.10056,54,original,train_original_only
lexical_richness,6,nearest_centroid,test,modernize,0.277778,0.275047,0.275047,54,original,train_original_only
lexical_richness,6,nearest_centroid,test,simplify,0.259259,0.246499,0.246499,54,original,train_original_only
lexical_richness,6,diagonal_gaussian_nb,validation,original,0.259259,0.242087,0.242087,54,original,train_original_only
lexical_richness,6,diagonal_gaussian_nb,validation,paraphrase,0.111111,0.049887,0.049887,54,original,train_original_only
lexical_richness,6,diagonal_gaussian_nb,validation,modernize,0.240741,0.227931,0.227931,54,original,train_original_only
lexical_richness,6,diagonal_gaussian_nb,validation,simplify,0.277778,0.291424,0.291424,54,original,train_original_only
lexical_richness,6,diagonal_gaussian_nb,test,original,0.388889,0.35664,0.35664,54,original,train_original_only
lexical_richness,6,diagonal_gaussian_nb,test,paraphrase,0.240741,0.160714,0.160714,54,original,train_original_only
lexical_richness,6,diagonal_gaussian_nb,test,modernize,0.296296,0.301916,0.301916,54,original,train_original_only
lexical_richness,6,diagonal_gaussian_nb,test,simplify,0.296296,0.295481,0.295481,54,original,train_original_only
lexical_richness,6,linear_discriminant_shrinkage,validation,original,0.277778,0.251379,0.251379,54,original,train_original_only
lexical_richness,6,linear_discriminant_shrinkage,validation,paraphrase,0.12963,0.057778,0.057778,54,original,train_original_only
lexical_richness,6,linear_discriminant_shrinkage,validation,modernize,0.314815,0.272559,0.272559,54,original,train_original_only
lexical_richness,6,linear_discriminant_shrinkage,validation,simplify,0.314815,0.269224,0.269224,54,original,train_original_only
lexical_richness,6,linear_discriminant_shrinkage,test,original,0.37037,0.370578,0.370578,54,original,train_original_only
lexical_richness,6,linear_discriminant_shrinkage,test,paraphrase,0.203704,0.130244,0.130244,54,original,train_original_only
lexical_richness,6,linear_discriminant_shrinkage,test,modernize,0.277778,0.275047,0.275047,54,original,train_original_only
lexical_richness,6,linear_discriminant_shrinkage,test,simplify,0.259259,0.257571,0.257571,54,original,train_original_only
punctuation,10,nearest_centroid,validation,original,0.444444,0.439218,0.439218,54,original,train_original_only
punctuation,10,nearest_centroid,validation,paraphrase,0.388889,0.369735,0.369735,54,original,train_original_only
punctuation,10,nearest_centroid,validation,modernize,0.388889,0.3794,0.3794,54,original,train_original_only
punctuation,10,nearest_centroid,validation,simplify,0.444444,0.412726,0.412726,54,original,train_original_only
punctuation,10,nearest_centroid,test,original,0.444444,0.436272,0.436272,54,original,train_original_only
punctuation,10,nearest_centroid,test,paraphrase,0.462963,0.471368,0.471368,54,original,train_original_only
punctuation,10,nearest_centroid,test,modernize,0.481481,0.46842,0.46842,54,original,train_original_only
punctuation,10,nearest_centroid,test,simplify,0.425926,0.406996,0.406996,54,original,train_original_only
punctuation,10,diagonal_gaussian_nb,validation,original,0.444444,0.35518,0.35518,54,original,train_original_only
punctuation,10,diagonal_gaussian_nb,validation,paraphrase,0.351852,0.26126,0.26126,54,original,train_original_only
punctuation,10,diagonal_gaussian_nb,validation,modernize,0.407407,0.322438,0.322438,54,original,train_original_only
punctuation,10,diagonal_gaussian_nb,validation,simplify,0.37037,0.300683,0.300683,54,original,train_original_only
punctuation,10,diagonal_gaussian_nb,test,original,0.407407,0.313272,0.313272,54,original,train_original_only
punctuation,10,diagonal_gaussian_nb,test,paraphrase,0.462963,0.344203,0.344203,54,original,train_original_only
punctuation,10,diagonal_gaussian_nb,test,modernize,0.444444,0.346701,0.346701,54,original,train_original_only
punctuation,10,diagonal_gaussian_nb,test,simplify,0.388889,0.310692,0.310692,54,original,train_original_only
punctuation,10,linear_discriminant_shrinkage,validation,original,0.5,0.495595,0.495595,54,original,train_original_only
punctuation,10,linear_discriminant_shrinkage,validation,paraphrase,0.425926,0.411972,0.411972,54,original,train_original_only
punctuation,10,linear_discriminant_shrinkage,validation,modernize,0.425926,0.403121,0.403121,54,original,train_original_only
punctuation,10,linear_discriminant_shrinkage,validation,simplify,0.425926,0.398755,0.398755,54,original,train_original_only
punctuation,10,linear_discriminant_shrinkage,test,original,0.518519,0.506396,0.506396,54,original,train_original_only
punctuation,10,linear_discriminant_shrinkage,test,paraphrase,0.462963,0.478868,0.478868,54,original,train_original_only
punctuation,10,linear_discriminant_shrinkage,test,modernize,0.481481,0.469936,0.469936,54,original,train_original_only
punctuation,10,linear_discriminant_shrinkage,test,simplify,0.407407,0.385913,0.385913,54,original,train_original_only
register_marker,4,nearest_centroid,validation,original,0.277778,0.276199,0.276199,54,original,train_original_only
register_marker,4,nearest_centroid,validation,paraphrase,0.259259,0.220758,0.220758,54,original,train_original_only
register_marker,4,nearest_centroid,validation,modernize,0.259259,0.236593,0.236593,54,original,train_original_only
register_marker,4,nearest_centroid,validation,simplify,0.222222,0.170354,0.170354,54,original,train_original_only
register_marker,4,nearest_centroid,test,original,0.444444,0.45296,0.45296,54,original,train_original_only
register_marker,4,nearest_centroid,test,paraphrase,0.351852,0.339827,0.339827,54,original,train_original_only
register_marker,4,nearest_centroid,test,modernize,0.37037,0.363892,0.363892,54,original,train_original_only
register_marker,4,nearest_centroid,test,simplify,0.296296,0.274056,0.274056,54,original,train_original_only
register_marker,4,diagonal_gaussian_nb,validation,original,0.240741,0.209396,0.209396,54,original,train_original_only
register_marker,4,diagonal_gaussian_nb,validation,paraphrase,0.333333,0.265192,0.265192,54,original,train_original_only
register_marker,4,diagonal_gaussian_nb,validation,modernize,0.296296,0.253535,0.253535,54,original,train_original_only
register_marker,4,diagonal_gaussian_nb,validation,simplify,0.314815,0.243973,0.243973,54,original,train_original_only
register_marker,4,diagonal_gaussian_nb,test,original,0.425926,0.394605,0.394605,54,original,train_original_only
register_marker,4,diagonal_gaussian_nb,test,paraphrase,0.277778,0.196825,0.196825,54,original,train_original_only
register_marker,4,diagonal_gaussian_nb,test,modernize,0.296296,0.247993,0.247993,54,original,train_original_only
register_marker,4,diagonal_gaussian_nb,test,simplify,0.351852,0.2898,0.2898,54,original,train_original_only
register_marker,4,linear_discriminant_shrinkage,validation,original,0.277778,0.275737,0.275737,54,original,train_original_only
register_marker,4,linear_discriminant_shrinkage,validation,paraphrase,0.222222,0.194325,0.194325,54,original,train_original_only
register_marker,4,linear_discriminant_shrinkage,validation,modernize,0.222222,0.210145,0.210145,54,original,train_original_only
register_marker,4,linear_discriminant_shrinkage,validation,simplify,0.203704,0.144689,0.144689,54,original,train_original_only
register_marker,4,linear_discriminant_shrinkage,test,original,0.407407,0.417904,0.417904,54,original,train_original_only
register_marker,4,linear_discriminant_shrinkage,test,paraphrase,0.351852,0.339827,0.339827,54,original,train_original_only
register_marker,4,linear_discriminant_shrinkage,test,modernize,0.296296,0.295124,0.295124,54,original,train_original_only
register_marker,4,linear_discriminant_shrinkage,test,simplify,0.240741,0.230552,0.230552,54,original,train_original_only
