feature_family,condition,mean_inter_author_distance,original_mean_inter_author_distance,distance_contraction_vs_original,distance_ratio_vs_original,feature_count
char3,original,0.445821201,0.445821201,0.0,1.0,120
char3,paraphrase,0.367406065,0.445821201,0.078415137,0.824110795,120
char3,modernize,0.395798085,0.445821201,0.050023116,0.887795564,120
char3,simplify,0.386478945,0.445821201,0.059342256,0.866892252,120
function_word,original,0.450105353,0.450105353,0.0,1.0,57
function_word,paraphrase,0.357475739,0.450105353,0.092629614,0.794204593,57
function_word,modernize,0.393822044,0.450105353,0.056283309,0.874955255,57
function_word,simplify,0.376919277,0.450105353,0.073186077,0.837402341,57
length_rhythm,original,0.465587564,0.465587564,0.0,1.0,8
length_rhythm,paraphrase,0.484827207,0.465587564,-0.019239643,1.04132336,8
length_rhythm,modernize,0.494970488,0.465587564,-0.029382924,1.06310934,8
length_rhythm,simplify,0.502765524,0.465587564,-0.037177959,1.079851702,8
lexical_richness,original,0.653019817,0.653019817,0.0,1.0,6
lexical_richness,paraphrase,0.518888738,0.653019817,0.13413108,0.794598761,6
lexical_richness,modernize,0.61087157,0.653019817,0.042148247,0.935456405,6
lexical_richness,simplify,0.637272936,0.653019817,0.015746881,0.975886059,6
punctuation,original,0.604652336,0.604652336,0.0,1.0,10
punctuation,paraphrase,0.49402999,0.604652336,0.110622346,0.817048014,10
punctuation,modernize,0.542972244,0.604652336,0.061680092,0.897990814,10
punctuation,simplify,0.515686831,0.604652336,0.088965505,0.852865027,10
register_marker,original,0.696052979,0.696052979,0.0,1.0,4
register_marker,paraphrase,0.489786193,0.696052979,0.206266786,0.703662232,4
register_marker,modernize,0.626400635,0.696052979,0.069652344,0.89993241,4
register_marker,simplify,0.555929408,0.696052979,0.140123571,0.798688354,4
