canonical_id,alias_id,author_id,work_id,gutenberg_ebook_no,plain_text_url,local_path,text_bytes_utf8,chars,words,sha256,start_marker_status,end_marker_status,fetch_status
pg_austen_1342,author1_work1,austen,pride_and_prejudice,1342,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,data/raw/gutenberg_texts/author1_work1.txt,737914,728714,127458,97acc34c1adc6ccf16a7c99fb41000e7b2182cfefb74fa9d6a5c858d86e1eddc,start_marker_removed,end_marker_removed,ok
pg_austen_158,author1_work2,austen,emma,158,https://www.gutenberg.org/cache/epub/158/pg158.txt,data/raw/gutenberg_texts/author1_work2.txt,897479,880424,160541,31806ed5c81d578f260a29b88a7c5d97222e7d12d72fdbfcf2c9dc20ed3e021a,start_marker_removed,end_marker_removed,ok
pg_dickens_1400,author2_work1,dickens,great_expectations,1400,https://www.gutenberg.org/cache/epub/1400/pg1400.txt,data/raw/gutenberg_texts/author2_work1.txt,1018009,994617,185486,b8ed36381a778163bb64691e827e629dbccead1f978f66a2d033e1a018a5a3cf,start_marker_removed,end_marker_removed,ok
pg_dickens_730,author2_work2,dickens,oliver_twist,730,https://www.gutenberg.org/cache/epub/730/pg730.txt,data/raw/gutenberg_texts/author2_work2.txt,917255,893161,158589,bd74c7181288de82a2ad726dbb267abee316173cefe9f412563c73bd56049213,start_marker_removed,end_marker_removed,ok
pg_poe_2147,author3_work1,poe,works_volume_1,2147,https://www.gutenberg.org/cache/epub/2147/pg2147.txt,data/raw/gutenberg_texts/author3_work1.txt,576952,571106,91176,6786f01b69e2facdffe30f21a62495a5802ae2d3ecbc35b0ec5bd5c3aac18f2b,start_marker_removed,end_marker_removed,ok
pg_poe_2148,author3_work2,poe,works_volume_2,2148,https://www.gutenberg.org/cache/epub/2148/pg2148.txt,data/raw/gutenberg_texts/author3_work2.txt,608299,602108,96534,d7d86f5cb2278b9cb5f1773cd715077747572fd480dfd9544c0411ae3be4d43b,start_marker_removed,end_marker_removed,ok
pg_twain_76,author4_work1,twain,huckleberry_finn,76,https://www.gutenberg.org/cache/epub/76/pg76.txt,data/raw/gutenberg_texts/author4_work1.txt,590657,571053,112231,8c3f8b1b64e9d4390411b5df69b26246560a3c42a7d264deb8f1f91929b7fd4c,start_marker_removed,end_marker_removed,ok
pg_twain_74,author4_work2,twain,tom_sawyer,74,https://www.gutenberg.org/cache/epub/74/pg74.txt,data/raw/gutenberg_texts/author4_work2.txt,405626,392733,71661,1dade7b8e9e86fae3dd0173c058501c07881229b824f23947641ec099482d3ef,start_marker_removed,end_marker_removed,ok
pg_shelley_84,author5_work1,shelley,frankenstein,84,https://www.gutenberg.org/cache/epub/84/pg84.txt,data/raw/gutenberg_texts/author5_work1.txt,421536,419337,75160,bde72e6909fb0caebf375b81f7a63140d2b6ffab49a473c670a498dee96934a8,start_marker_removed,end_marker_removed,ok
pg_shelley_18247,author5_work2,shelley,the_last_man,18247,https://www.gutenberg.org/cache/epub/18247/pg18247.txt,data/raw/gutenberg_texts/author5_work2.txt,1006629,999982,175711,2d0407fa20f0e4f3b20fcfbcd3436c77ffd63fe43b62e2b7233e2d850b8df91e,start_marker_removed,end_marker_removed,ok
pg_wilde_174,author6_work1,wilde,dorian_gray,174,https://www.gutenberg.org/cache/epub/174/pg174.txt,data/raw/gutenberg_texts/author6_work1.txt,437456,429313,79181,aa8346331b9532dab86d8ab25a4a4ad598dc1c79e7ec2ed66157db9881861236,start_marker_removed,end_marker_removed,ok
pg_wilde_773,author6_work2,wilde,lord_arthur_stories,773,https://www.gutenberg.org/cache/epub/773/pg773.txt,data/raw/gutenberg_texts/author6_work2.txt,225844,222399,39596,ff14b3409366f8a7f3356c1e0c9b4eababb28f5796baef434a09adb7efd5b385,start_marker_removed,end_marker_removed,ok
