feature_set,condition,author_a,author_b,burrows_delta,mean_absolute_z_distance,euclidean_z_distance,feature_count
function_word,original,austen,dickens,0.415623066,0.415623066,4.126675832,57
function_word,original,austen,poe,0.561206434,0.561206434,5.415928787,57
function_word,original,austen,shelley,0.523940884,0.523940884,4.690047825,57
function_word,original,austen,twain,0.563033817,0.563033817,5.33364217,57
function_word,original,austen,wilde,0.40158592,0.40158592,4.004666405,57
function_word,original,dickens,poe,0.43086034,0.43086034,4.232323696,57
function_word,original,dickens,shelley,0.377548173,0.377548173,3.500352577,57
function_word,original,dickens,twain,0.392908748,0.392908748,3.578578314,57
function_word,original,dickens,wilde,0.239126412,0.239126412,2.327755275,57
function_word,original,poe,shelley,0.395204743,0.395204743,3.59917217,57
function_word,original,poe,twain,0.620887969,0.620887969,5.682190075,57
function_word,original,poe,wilde,0.444765917,0.444765917,4.480247543,57
function_word,original,shelley,twain,0.534571365,0.534571365,5.133569329,57
function_word,original,shelley,wilde,0.441521925,0.441521925,4.163617347,57
function_word,original,twain,wilde,0.408794582,0.408794582,3.880155398,57
function_word,paraphrase,austen,dickens,0.359524985,0.359524985,3.476001167,57
function_word,paraphrase,austen,poe,0.488849242,0.488849242,4.823938077,57
function_word,paraphrase,austen,shelley,0.46786313,0.46786313,4.36349238,57
function_word,paraphrase,austen,twain,0.404874703,0.404874703,3.930225524,57
function_word,paraphrase,austen,wilde,0.392430781,0.392430781,3.869303569,57
function_word,paraphrase,dickens,poe,0.342525235,0.342525235,3.326234448,57
function_word,paraphrase,dickens,shelley,0.332954196,0.332954196,3.19851127,57
function_word,paraphrase,dickens,twain,0.259236922,0.259236922,2.4657788,57
function_word,paraphrase,dickens,wilde,0.210344215,0.210344215,1.990726661,57
function_word,paraphrase,poe,shelley,0.312442605,0.312442605,3.013015858,57
function_word,paraphrase,poe,twain,0.423926338,0.423926338,4.103120671,57
function_word,paraphrase,poe,wilde,0.311755541,0.311755541,3.25237658,57
function_word,paraphrase,shelley,twain,0.399699605,0.399699605,4.106557079,57
function_word,paraphrase,shelley,wilde,0.366835457,0.366835457,3.641089425,57
function_word,paraphrase,twain,wilde,0.288873125,0.288873125,2.744213823,57
function_word,modernize,austen,dickens,0.382811396,0.382811396,3.870175573,57
function_word,modernize,austen,poe,0.524505386,0.524505386,5.11044751,57
function_word,modernize,austen,shelley,0.496865588,0.496865588,4.468426157,57
function_word,modernize,austen,twain,0.464656776,0.464656776,4.557518947,57
function_word,modernize,austen,wilde,0.406829986,0.406829986,3.982853305,57
function_word,modernize,dickens,poe,0.387953493,0.387953493,3.654663888,57
function_word,modernize,dickens,shelley,0.3645181,0.3645181,3.480063288,57
function_word,modernize,dickens,twain,0.304378705,0.304378705,2.805520845,57
function_word,modernize,dickens,wilde,0.229874802,0.229874802,2.151587046,57
function_word,modernize,poe,shelley,0.344945565,0.344945565,3.260619225,57
function_word,modernize,poe,twain,0.496600663,0.496600663,4.634406196,57
function_word,modernize,poe,wilde,0.347740375,0.347740375,3.550698584,57
function_word,modernize,shelley,twain,0.447388051,0.447388051,4.409654826,57
function_word,modernize,shelley,wilde,0.398546875,0.398546875,3.89834783,57
function_word,modernize,twain,wilde,0.309714895,0.309714895,2.918266765,57
function_word,simplify,austen,dickens,0.376552465,0.376552465,3.818097057,57
function_word,simplify,austen,poe,0.507799651,0.507799651,5.070848609,57
function_word,simplify,austen,shelley,0.498861562,0.498861562,4.55684297,57
function_word,simplify,austen,twain,0.450258144,0.450258144,4.383010298,57
function_word,simplify,austen,wilde,0.398900695,0.398900695,3.896150676,57
function_word,simplify,dickens,poe,0.362591805,0.362591805,3.460094721,57
function_word,simplify,dickens,shelley,0.347359097,0.347359097,3.347186926,57
function_word,simplify,dickens,twain,0.279790464,0.279790464,2.682584182,57
function_word,simplify,dickens,wilde,0.225416612,0.225416612,2.139031574,57
function_word,simplify,poe,shelley,0.345789188,0.345789188,3.292472891,57
function_word,simplify,poe,twain,0.426443275,0.426443275,4.138627374,57
function_word,simplify,poe,wilde,0.323562963,0.323562963,3.362754277,57
function_word,simplify,shelley,twain,0.434338847,0.434338847,4.212945073,57
function_word,simplify,shelley,wilde,0.389825516,0.389825516,3.873859534,57
