metric,value
master_rows,1440
expected_master_rows,1440
original_rows,360
rewrite_rows,1080
paraphrase_rows,360
modernize_rows,360
simplify_rows,360
authors,6
works,12
unique_passages,360
master_qc_pass,1329
master_qc_warning,111
master_qc_fail,0
rewrite_qc_pass,969
rewrite_qc_warning,111
rewrite_qc_fail,0
empty_text_rows,0
json_parse_failed_used_raw_content,1
master_text_dataset_csv_bytes,5244984
master_text_dataset_csv_sha256,6c8a08559034cc94e405c6ba05c077ab731bba316244a1f5296224604d8c8530
selected_original_passages_csv_sha256,4666b70bcf00bf07cf810f1cf13651c0c3c8c2335ef1a8980cd54431599c0e4f
rewrite_responses_parsed_csv_sha256,95b022964ad3aba0d3f92454c5fa82931456162453d48c286d182e378cdbaae1
rewrite_qc_report_csv_sha256,4a338b99cc5c7d1c893e7d007a16e05126977c7cf8ebb5e677868ace7883169e
created_utc,2026-05-29T15:28:19.439292+00:00
