feature,feature_index,feature_family
word_count_feature,1,length_rhythm
sentence_count_feature,2,length_rhythm
paragraph_count_feature,3,length_rhythm
mean_sentence_words,4,length_rhythm
median_sentence_words,5,length_rhythm
std_sentence_words,6,length_rhythm
short_sentence_ratio,7,length_rhythm
long_sentence_ratio,8,length_rhythm
punctuation_per_1000w,9,punctuation
comma_per_1000w,10,punctuation
semicolon_per_1000w,11,punctuation
colon_per_1000w,12,punctuation
dash_per_1000w,13,punctuation
question_per_1000w,14,punctuation
exclamation_per_1000w,15,punctuation
quote_mark_per_1000w,16,punctuation
apostrophe_per_1000w,17,punctuation
ellipsis_per_1000w,18,punctuation
type_token_ratio,19,lexical_richness
root_type_token_ratio,20,lexical_richness
hapax_ratio,21,lexical_richness
avg_word_length,22,lexical_richness
long_word_ratio,23,lexical_richness
short_word_ratio,24,lexical_richness
contraction_per_1000w,25,register_marker
archaic_marker_per_1000w,26,register_marker
abstract_suffix_per_1000w,27,register_marker
dialogue_marker_per_1000w,28,register_marker
fw_the_per_1000w,29,function_word
fw_and_per_1000w,30,function_word
fw_of_per_1000w,31,function_word
fw_to_per_1000w,32,function_word
fw_a_per_1000w,33,function_word
fw_in_per_1000w,34,function_word
fw_that_per_1000w,35,function_word
fw_it_per_1000w,36,function_word
fw_is_per_1000w,37,function_word
fw_was_per_1000w,38,function_word
fw_i_per_1000w,39,function_word
fw_for_per_1000w,40,function_word
fw_with_per_1000w,41,function_word
fw_as_per_1000w,42,function_word
fw_his_per_1000w,43,function_word
fw_he_per_1000w,44,function_word
fw_be_per_1000w,45,function_word
fw_not_per_1000w,46,function_word
fw_by_per_1000w,47,function_word
fw_but_per_1000w,48,function_word
fw_had_per_1000w,49,function_word
fw_you_per_1000w,50,function_word
fw_at_per_1000w,51,function_word
fw_on_per_1000w,52,function_word
fw_her_per_1000w,53,function_word
fw_which_per_1000w,54,function_word
fw_have_per_1000w,55,function_word
fw_or_per_1000w,56,function_word
fw_from_per_1000w,57,function_word
fw_this_per_1000w,58,function_word
fw_my_per_1000w,59,function_word
fw_me_per_1000w,60,function_word
fw_all_per_1000w,61,function_word
fw_so_per_1000w,62,function_word
fw_were_per_1000w,63,function_word
fw_they_per_1000w,64,function_word
fw_him_per_1000w,65,function_word
fw_she_per_1000w,66,function_word
fw_there_per_1000w,67,function_word
fw_no_per_1000w,68,function_word
fw_one_per_1000w,69,function_word
fw_their_per_1000w,70,function_word
fw_we_per_1000w,71,function_word
fw_what_per_1000w,72,function_word
fw_if_per_1000w,73,function_word
fw_would_per_1000w,74,function_word
fw_when_per_1000w,75,function_word
fw_who_per_1000w,76,function_word
fw_will_per_1000w,77,function_word
fw_more_per_1000w,78,function_word
fw_an_per_1000w,79,function_word
fw_do_per_1000w,80,function_word
fw_are_per_1000w,81,function_word
fw_than_per_1000w,82,function_word
fw_could_per_1000w,83,function_word
fw_them_per_1000w,84,function_word
fw_been_per_1000w,85,function_word
char3__space_th,86,char3
char3_the,87,char3
char3_he_space_,88,char3
char3__space_an,89,char3
char3_nd_space_,90,char3
char3_and,91,char3
char3_ed_space_,92,char3
char3__space_to,93,char3
char3__space_of,94,char3
char3_ing,95,char3
char3_of_space_,96,char3
char3_to_space_,97,char3
char3__space_he,98,char3
char3_ng_space_,99,char3
char3__space_in,100,char3
char3_er_space_,101,char3
char3_at_space_,102,char3
char3_as_space_,103,char3
char3__space_ha,104,char3
char3_comma_space_a,105,char3
char3_her,106,char3
char3__space_a_space_,107,char3
char3_d_space_t,108,char3
char3__space_be,109,char3
char3__space_wa,110,char3
char3_is_space_,111,char3
char3__space_i_space_,112,char3
char3_in_space_,113,char3
char3__space_hi,114,char3
char3_re_space_,115,char3
char3_hat,116,char3
char3_e_space_t,117,char3
char3__space_wh,118,char3
char3__space_co,119,char3
char3_tha,120,char3
char3_on_space_,121,char3
char3_n_space_t,122,char3
char3_was,123,char3
char3__space_it,124,char3
char3__space_no,125,char3
char3_his,126,char3
char3__space_wi,127,char3
char3_e_space_w,128,char3
char3_ere,129,char3
char3_e_space_s,130,char3
char3_en_space_,131,char3
char3_e_space_a,132,char3
char3_t_space_t,133,char3
char3_ecomma_space_,134,char3
char3_you,135,char3
char3_ver,136,char3
char3_for,137,char3
char3__space_yo,138,char3
char3_ent,139,char3
char3__space_sh,140,char3
char3__space_fo,141,char3
char3_ut_space_,142,char3
char3_or_space_,143,char3
char3_ly_space_,144,char3
char3__space_re,145,char3
char3_e_space_o,146,char3
char3_it_space_,147,char3
char3_ll_space_,148,char3
char3__space_so,149,char3
char3_ter,150,char3
char3_ion,151,char3
char3_th_space_,152,char3
char3__space_on,153,char3
char3__space_we,154,char3
char3_d_space_a,155,char3
char3_scomma_space_,156,char3
char3_e_space_h,157,char3
char3_me_space_,158,char3
char3_ad_space_,159,char3
char3__space_ma,160,char3
char3_f_space_t,161,char3
char3_ith,162,char3
char3_thi,163,char3
char3_s_space_a,164,char3
char3_ld_space_,165,char3
char3_s_space_t,166,char3
char3_ve_space_,167,char3
char3_st_space_,168,char3
char3__space_me,169,char3
char3_t_space_i,170,char3
char3_wit,171,char3
char3__space_as,172,char3
char3_an_space_,173,char3
char3_all,174,char3
char3_not,175,char3
char3_had,176,char3
char3_d_space_h,177,char3
char3__space_sa,178,char3
char3_e_space_i,179,char3
char3_e_space_m,180,char3
char3_dcomma_space_,181,char3
char3_t_space_a,182,char3
char3_le_space_,183,char3
char3__space_do,184,char3
char3_ght,185,char3
char3_comma_space_t,186,char3
char3_eve,187,char3
char3_e_space_c,188,char3
char3__space_mo,189,char3
char3_s_space_o,190,char3
char3_es_space_,191,char3
char3_ot_space_,192,char3
char3_oul,193,char3
char3_ou_space_,194,char3
char3_tio,195,char3
char3__space_de,196,char3
char3__space_al,197,char3
char3_d_space_i,198,char3
char3_she,199,char3
char3_ch_space_,200,char3
char3__space_my,201,char3
char3__space_se,202,char3
char3_uld,203,char3
char3_t_space_w,204,char3
char3__space_bu,205,char3
