model,split,condition,accuracy,macro_f1,weighted_f1,rows
nearest_centroid,validation,original,0.648148,0.620187,0.620187,54
nearest_centroid,validation,paraphrase,0.481481,0.427045,0.427045,54
nearest_centroid,validation,modernize,0.518519,0.491152,0.491152,54
nearest_centroid,validation,simplify,0.444444,0.372384,0.372384,54
nearest_centroid,test,original,0.777778,0.776931,0.776931,54
nearest_centroid,test,paraphrase,0.444444,0.395797,0.395797,54
nearest_centroid,test,modernize,0.574074,0.56072,0.56072,54
nearest_centroid,test,simplify,0.481481,0.463636,0.463636,54
diagonal_gaussian_nb,validation,original,0.703704,0.683694,0.683694,54
diagonal_gaussian_nb,validation,paraphrase,0.444444,0.411606,0.411606,54
diagonal_gaussian_nb,validation,modernize,0.537037,0.525624,0.525624,54
diagonal_gaussian_nb,validation,simplify,0.555556,0.512506,0.512506,54
diagonal_gaussian_nb,test,original,0.759259,0.760859,0.760859,54
diagonal_gaussian_nb,test,paraphrase,0.462963,0.423931,0.423931,54
diagonal_gaussian_nb,test,modernize,0.592593,0.590047,0.590047,54
diagonal_gaussian_nb,test,simplify,0.462963,0.449798,0.449798,54
linear_discriminant_shrinkage,validation,original,0.666667,0.650204,0.650204,54
linear_discriminant_shrinkage,validation,paraphrase,0.5,0.444461,0.444461,54
linear_discriminant_shrinkage,validation,modernize,0.537037,0.526939,0.526939,54
linear_discriminant_shrinkage,validation,simplify,0.425926,0.363722,0.363722,54
linear_discriminant_shrinkage,test,original,0.777778,0.776931,0.776931,54
linear_discriminant_shrinkage,test,paraphrase,0.444444,0.390232,0.390232,54
linear_discriminant_shrinkage,test,modernize,0.611111,0.598237,0.598237,54
linear_discriminant_shrinkage,test,simplify,0.444444,0.419634,0.419634,54
