model,split,condition,baseline_condition,accuracy,macro_f1,weighted_f1,accuracy_difference_vs_original,macro_f1_difference_vs_original,weighted_f1_difference_vs_original,macro_f1_survival_ratio,rows
diagonal_gaussian_nb,test,original,original,0.759259,0.760859,0.760859,0.0,0.0,0.0,1.0,54
diagonal_gaussian_nb,test,paraphrase,original,0.62963,0.607256,0.607256,-0.129629,-0.153603,-0.153603,0.798119,54
diagonal_gaussian_nb,test,modernize,original,0.685185,0.656836,0.656836,-0.074074,-0.104023,-0.104023,0.863282,54
diagonal_gaussian_nb,test,simplify,original,0.592593,0.569321,0.569321,-0.166666,-0.191538,-0.191538,0.748261,54
diagonal_gaussian_nb,validation,original,original,0.703704,0.683694,0.683694,0.0,0.0,0.0,1.0,54
diagonal_gaussian_nb,validation,paraphrase,original,0.574074,0.551126,0.551126,-0.12963,-0.132568,-0.132568,0.8061,54
diagonal_gaussian_nb,validation,modernize,original,0.62963,0.613832,0.613832,-0.074074,-0.069862,-0.069862,0.897817,54
diagonal_gaussian_nb,validation,simplify,original,0.592593,0.551449,0.551449,-0.111111,-0.132245,-0.132245,0.806573,54
linear_discriminant_shrinkage,test,original,original,0.777778,0.776931,0.776931,0.0,0.0,0.0,1.0,54
linear_discriminant_shrinkage,test,paraphrase,original,0.611111,0.605189,0.605189,-0.166667,-0.171742,-0.171742,0.778948,54
linear_discriminant_shrinkage,test,modernize,original,0.685185,0.682286,0.682286,-0.092593,-0.094645,-0.094645,0.878181,54
linear_discriminant_shrinkage,test,simplify,original,0.648148,0.647004,0.647004,-0.12963,-0.129927,-0.129927,0.832769,54
linear_discriminant_shrinkage,validation,original,original,0.666667,0.650204,0.650204,0.0,0.0,0.0,1.0,54
linear_discriminant_shrinkage,validation,paraphrase,original,0.611111,0.594483,0.594483,-0.055556,-0.055721,-0.055721,0.914302,54
linear_discriminant_shrinkage,validation,modernize,original,0.666667,0.647183,0.647183,0.0,-0.003021,-0.003021,0.995354,54
linear_discriminant_shrinkage,validation,simplify,original,0.62963,0.614141,0.614141,-0.037037,-0.036063,-0.036063,0.944536,54
nearest_centroid,test,original,original,0.777778,0.776931,0.776931,0.0,0.0,0.0,1.0,54
nearest_centroid,test,paraphrase,original,0.62963,0.623903,0.623903,-0.148148,-0.153028,-0.153028,0.803035,54
nearest_centroid,test,modernize,original,0.685185,0.682286,0.682286,-0.092593,-0.094645,-0.094645,0.878181,54
nearest_centroid,test,simplify,original,0.685185,0.682286,0.682286,-0.092593,-0.094645,-0.094645,0.878181,54
nearest_centroid,validation,original,original,0.648148,0.620187,0.620187,0.0,0.0,0.0,1.0,54
nearest_centroid,validation,paraphrase,original,0.592593,0.570449,0.570449,-0.055555,-0.049738,-0.049738,0.919802,54
nearest_centroid,validation,modernize,original,0.666667,0.647183,0.647183,0.018519,0.026996,0.026996,1.043529,54
nearest_centroid,validation,simplify,original,0.611111,0.596242,0.596242,-0.037037,-0.023945,-0.023945,0.961391,54
