model,split,condition,baseline_condition,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original,rows
diagonal_gaussian_nb,test,original,original,0.759259,0.760859,0.760859,0.0,0.0,0.0,54
diagonal_gaussian_nb,test,paraphrase,original,0.462963,0.423931,0.423931,0.296296,0.336928,0.336928,54
diagonal_gaussian_nb,test,modernize,original,0.592593,0.590047,0.590047,0.166666,0.170812,0.170812,54
diagonal_gaussian_nb,test,simplify,original,0.462963,0.449798,0.449798,0.296296,0.311061,0.311061,54
diagonal_gaussian_nb,validation,original,original,0.703704,0.683694,0.683694,0.0,0.0,0.0,54
diagonal_gaussian_nb,validation,paraphrase,original,0.444444,0.411606,0.411606,0.25926,0.272088,0.272088,54
diagonal_gaussian_nb,validation,modernize,original,0.537037,0.525624,0.525624,0.166667,0.15807,0.15807,54
diagonal_gaussian_nb,validation,simplify,original,0.555556,0.512506,0.512506,0.148148,0.171188,0.171188,54
linear_discriminant_shrinkage,test,original,original,0.777778,0.776931,0.776931,0.0,0.0,0.0,54
linear_discriminant_shrinkage,test,paraphrase,original,0.444444,0.390232,0.390232,0.333334,0.386699,0.386699,54
linear_discriminant_shrinkage,test,modernize,original,0.611111,0.598237,0.598237,0.166667,0.178694,0.178694,54
linear_discriminant_shrinkage,test,simplify,original,0.444444,0.419634,0.419634,0.333334,0.357297,0.357297,54
linear_discriminant_shrinkage,validation,original,original,0.666667,0.650204,0.650204,0.0,0.0,0.0,54
linear_discriminant_shrinkage,validation,paraphrase,original,0.5,0.444461,0.444461,0.166667,0.205743,0.205743,54
linear_discriminant_shrinkage,validation,modernize,original,0.537037,0.526939,0.526939,0.12963,0.123265,0.123265,54
linear_discriminant_shrinkage,validation,simplify,original,0.425926,0.363722,0.363722,0.240741,0.286482,0.286482,54
nearest_centroid,test,original,original,0.777778,0.776931,0.776931,0.0,0.0,0.0,54
nearest_centroid,test,paraphrase,original,0.444444,0.395797,0.395797,0.333334,0.381134,0.381134,54
nearest_centroid,test,modernize,original,0.574074,0.56072,0.56072,0.203704,0.216211,0.216211,54
nearest_centroid,test,simplify,original,0.481481,0.463636,0.463636,0.296297,0.313295,0.313295,54
nearest_centroid,validation,original,original,0.648148,0.620187,0.620187,0.0,0.0,0.0,54
nearest_centroid,validation,paraphrase,original,0.481481,0.427045,0.427045,0.166667,0.193142,0.193142,54
nearest_centroid,validation,modernize,original,0.518519,0.491152,0.491152,0.129629,0.129035,0.129035,54
nearest_centroid,validation,simplify,original,0.444444,0.372384,0.372384,0.203704,0.247803,0.247803,54
