passage_id,condition,original_word_count,rewritten_word_count,length_ratio,rewritten_sentence_count,rewritten_text_sha256,qc_status,qc_flags
AUSTEN_EMMA_001,paraphrase,569,559,0.982425,27,3b1e5c05f3af72b47bffe09224adf34f9ac04893fadce6d1b7b81611aeb02e33,pass,
AUSTEN_EMMA_001,modernize,569,492,0.864675,29,971c15368945e7edd4fd11b43531a5f0ab2fa05c590cc0aa0f70b6a72872a0fe,pass,
AUSTEN_EMMA_001,simplify,569,540,0.949033,33,454a649fce9b7488beb82c9c22148d4682236599bed4b119a91b68e8aebc14bf,pass,
AUSTEN_EMMA_002,paraphrase,562,542,0.964413,41,8be852bc42d8f484d2821beb3c7901ad0120d2527c3d8a5af910216f1a6a4b12,pass,
AUSTEN_EMMA_002,modernize,562,558,0.992883,41,1b3e8b1a049b8501394ee38b19ccfede4e5e04808c542e92cfab8ac39bee1340,pass,
AUSTEN_EMMA_002,simplify,562,575,1.023132,46,1fefd131e62e2b50f0a8731c018b70fd5f3f07d2296587b82c457b7bfb0c5ed6,pass,
AUSTEN_EMMA_003,paraphrase,555,509,0.917117,39,9b97bc5fd80405e2b70854b2114179b15769e1e5c927b9ba99a0392ad22360f7,pass,
AUSTEN_EMMA_003,modernize,555,560,1.009009,40,25f0dd009e8e02480006b0c08f6612376b73f056e7922a4e5ccf6fa04a175bdf,pass,
AUSTEN_EMMA_003,simplify,555,528,0.951351,42,5e1c5e42d57713862323d28c401a97c6a48cb00e93a3cecc03456a67e87ad0d0,pass,
AUSTEN_EMMA_004,paraphrase,560,551,0.983929,27,3adc21697bd5a82ba23b0ecdf1e141fcccae8808ebc175341b386a56630a5bef,pass,
AUSTEN_EMMA_004,modernize,560,548,0.978571,27,58324ea8de0040c70b5794974380db09f905231a59fb697c18ef61bfd24c83ba,pass,
AUSTEN_EMMA_004,simplify,560,545,0.973214,27,fe1aa9b51ed5444e4ebc2770a8b6f487f2dcdfcc95056f3a59726e8cf0b29585,pass,
AUSTEN_EMMA_005,paraphrase,563,512,0.909414,32,d5e9e57e851bc5df40a6c3bdb4230722596f9e5eaecf0efa9eb8bbafe30fb06d,pass,
AUSTEN_EMMA_005,modernize,563,552,0.980462,35,938887c1df79430b205e243b195c90dcc6d06575fb10d111ca0dc8b4405ba05d,pass,
AUSTEN_EMMA_005,simplify,563,536,0.952043,37,11e9f10b9fe7c98b10bba0ea2cf19fdc199655fe17bcbf5849da376558c6b37a,pass,
AUSTEN_EMMA_006,paraphrase,563,546,0.969805,46,f68a80e1748397738adb92dce010807ef1a0dad89824ce4b383823bc1a4abc0b,pass,
AUSTEN_EMMA_006,modernize,563,536,0.952043,50,7d271df2544be7268c505e520e1c388ebf0ddd6eb3325159e06b7fc76e28d693,pass,
AUSTEN_EMMA_006,simplify,563,516,0.916519,53,d6027afdaeb6bb59e42fbaef5341e8f465e7562742f4fb95bee58d0feb932e96,pass,
AUSTEN_EMMA_007,paraphrase,553,559,1.01085,39,a9940cbdc5fbbf32c408cc6d8941b2807c0139c57b284fdcb67cc28d0c3c63e1,pass,
AUSTEN_EMMA_007,modernize,553,557,1.007233,45,bbcb3230ce8c20393254d63b637ac1d5dc9b1049740bf3a6375c061aa03ca566,pass,
AUSTEN_EMMA_007,simplify,553,541,0.9783,49,edd1baf24fd8f3a776b8f44d2eb4467ce83168e0e9ee030e8ba7180f67ca086b,pass,
AUSTEN_EMMA_008,paraphrase,574,515,0.897213,31,ade3c9951c450359f38b47874b775285448e74ce1733ea9e6ee4ba91b07f731c,pass,
AUSTEN_EMMA_008,modernize,574,513,0.893728,38,ddeb3fdedf53a8c602ef2ae1960e11a056b3251295f19130391c2b3d0dc48b63,pass,
AUSTEN_EMMA_008,simplify,574,537,0.93554,39,ec544fecad3b671e5b65f6ffa0f965bdefc0673e8096ab4f5be641fc17255abb,pass,
AUSTEN_EMMA_009,paraphrase,562,575,1.023132,36,e1d5ee588534ef751adb5138d5048fcad1a38c02c3608e1019ec575f718af998,pass,
AUSTEN_EMMA_009,modernize,562,590,1.049822,36,18b911c8c0d8ad6f601a1f7811244d2994910957d81f659c8f492ec182e7309c,pass,
AUSTEN_EMMA_009,simplify,562,556,0.989324,39,8f7f3f319f677f0ea3e5e95d4e6b79c498855e4cd469becc751a96afe3dddd92,pass,
AUSTEN_EMMA_010,paraphrase,558,501,0.897849,20,31e4ff59ded5f03344a0f6ea961e505372f0db43bcf58d70de593983bfa9ee63,pass,
AUSTEN_EMMA_010,modernize,558,514,0.921147,20,93e70800aeb62f95279b2299b67f4e726a8817fc018ee234379db540ec554901,pass,
AUSTEN_EMMA_010,simplify,558,505,0.905018,27,8e989858eb9203b1b9ab7230510e86ecea655eb251be49ca8916f08a4bf3eaad,pass,
AUSTEN_EMMA_011,paraphrase,553,530,0.958409,26,9bf5b9dbae9e70458fe2c3bea8b7cc376c1ba781adfc2377156b81ec57c3f931,pass,
AUSTEN_EMMA_011,modernize,553,530,0.958409,29,e09c011c44024392382b106d61519bc89c908f1da40783deb094be1ab2563288,pass,
AUSTEN_EMMA_011,simplify,553,520,0.940325,33,e922018fa0b560203e494295996ceca86a389f525201c266c796774207b41e0d,pass,
AUSTEN_EMMA_012,paraphrase,566,515,0.909894,33,c71c8f3f30cdb3d56632e4aa4b64986b19da2f20be403baaea964b0678ea0bb1,pass,
AUSTEN_EMMA_012,modernize,566,540,0.954064,33,0e0e041ca80985eeec4b4a8ca09f15800d208920895e17c3004ec9b24911170d,pass,
AUSTEN_EMMA_012,simplify,566,533,0.941696,37,1afc5caffa89200a5ad5334c7eaa8bb05fc2648aafbf977088b644bb405c5b76,pass,
AUSTEN_EMMA_013,paraphrase,563,520,0.923623,48,79ada91b0eafa413ecbda185009ca8c5aa4ff90f2682dc9e4cb7549ce381fb6d,pass,
AUSTEN_EMMA_013,modernize,563,529,0.939609,50,ddf6df8a82c803e9616a41c7f9254762dfc42513e18b02a374cc16bc57540835,pass,
AUSTEN_EMMA_013,simplify,563,520,0.923623,53,65c50c9e3b1c110a1d0d8d4b090afd7b505868c4a615ca1c2e379a235c98c468,pass,
AUSTEN_EMMA_014,paraphrase,552,511,0.925725,36,ebfc8aba16715a357830fa68b3496e37078a1652140f009f711feec2f20a3ade,pass,
AUSTEN_EMMA_014,modernize,552,525,0.951087,36,a3977295215e28605bf62b306652d79ea5a92b08163e7892b6beb9527b66cf2f,pass,
AUSTEN_EMMA_014,simplify,552,502,0.90942,37,fa42e903fdd57201bae2747f0e401d692ae9e2459a1564459bd15a13141ccb11,pass,
