model,split,condition,author_id,precision,recall,f1,support
nearest_centroid,validation,original,austen,0.777778,0.777778,0.777778,9
nearest_centroid,validation,original,dickens,0.666667,0.888889,0.761905,9
nearest_centroid,validation,original,poe,0.7,0.777778,0.736842,9
nearest_centroid,validation,original,shelley,0.666667,0.888889,0.761905,9
nearest_centroid,validation,original,twain,0.5,0.222222,0.307692,9
nearest_centroid,validation,original,wilde,0.428571,0.333333,0.375,9
nearest_centroid,test,original,austen,0.9,1.0,0.947368,9
nearest_centroid,test,original,dickens,0.75,0.666667,0.705882,9
nearest_centroid,test,original,poe,0.666667,0.666667,0.666667,9
nearest_centroid,test,original,shelley,0.727273,0.888889,0.8,9
nearest_centroid,test,original,twain,1.0,0.777778,0.875,9
nearest_centroid,test,original,wilde,0.666667,0.666667,0.666667,9
diagonal_gaussian_nb,validation,original,austen,0.888889,0.888889,0.888889,9
diagonal_gaussian_nb,validation,original,dickens,0.5,1.0,0.666667,9
diagonal_gaussian_nb,validation,original,poe,0.875,0.777778,0.823529,9
diagonal_gaussian_nb,validation,original,shelley,0.727273,0.888889,0.8,9
diagonal_gaussian_nb,validation,original,twain,0.75,0.333333,0.461538,9
diagonal_gaussian_nb,validation,original,wilde,0.75,0.333333,0.461538,9
diagonal_gaussian_nb,test,original,austen,0.9,1.0,0.947368,9
diagonal_gaussian_nb,test,original,dickens,0.666667,0.888889,0.761905,9
diagonal_gaussian_nb,test,original,poe,0.75,0.666667,0.705882,9
diagonal_gaussian_nb,test,original,shelley,0.545455,0.666667,0.6,9
diagonal_gaussian_nb,test,original,twain,0.857143,0.666667,0.75,9
diagonal_gaussian_nb,test,original,wilde,1.0,0.666667,0.8,9
linear_discriminant_shrinkage,validation,original,austen,0.777778,0.777778,0.777778,9
linear_discriminant_shrinkage,validation,original,dickens,0.666667,0.888889,0.761905,9
linear_discriminant_shrinkage,validation,original,poe,0.636364,0.777778,0.7,9
linear_discriminant_shrinkage,validation,original,shelley,0.636364,0.777778,0.7,9
linear_discriminant_shrinkage,validation,original,twain,0.75,0.333333,0.461538,9
linear_discriminant_shrinkage,validation,original,wilde,0.571429,0.444444,0.5,9
linear_discriminant_shrinkage,test,original,austen,0.9,1.0,0.947368,9
linear_discriminant_shrinkage,test,original,dickens,0.75,0.666667,0.705882,9
linear_discriminant_shrinkage,test,original,poe,0.666667,0.666667,0.666667,9
linear_discriminant_shrinkage,test,original,shelley,0.727273,0.888889,0.8,9
linear_discriminant_shrinkage,test,original,twain,1.0,0.777778,0.875,9
linear_discriminant_shrinkage,test,original,wilde,0.666667,0.666667,0.666667,9
nearest_centroid,validation,paraphrase,austen,0.833333,0.555556,0.666667,9
nearest_centroid,validation,paraphrase,dickens,0.428571,0.666667,0.521739,9
nearest_centroid,validation,paraphrase,poe,0.571429,0.888889,0.695652,9
nearest_centroid,validation,paraphrase,shelley,0.727273,0.888889,0.8,9
nearest_centroid,validation,paraphrase,twain,1.0,0.222222,0.363636,9
nearest_centroid,validation,paraphrase,wilde,0.428571,0.333333,0.375,9
nearest_centroid,test,paraphrase,austen,0.75,1.0,0.857143,9
nearest_centroid,test,paraphrase,dickens,0.833333,0.555556,0.666667,9
nearest_centroid,test,paraphrase,poe,0.454545,0.555556,0.5,9
nearest_centroid,test,paraphrase,shelley,0.636364,0.777778,0.7,9
nearest_centroid,test,paraphrase,twain,0.833333,0.555556,0.666667,9
nearest_centroid,test,paraphrase,wilde,0.375,0.333333,0.352941,9
diagonal_gaussian_nb,validation,paraphrase,austen,0.833333,0.555556,0.666667,9
diagonal_gaussian_nb,validation,paraphrase,dickens,0.411765,0.777778,0.538462,9
diagonal_gaussian_nb,validation,paraphrase,poe,0.5,0.777778,0.608696,9
diagonal_gaussian_nb,validation,paraphrase,shelley,0.777778,0.777778,0.777778,9
diagonal_gaussian_nb,validation,paraphrase,twain,0.666667,0.444444,0.533333,9
diagonal_gaussian_nb,validation,paraphrase,wilde,0.5,0.111111,0.181818,9
diagonal_gaussian_nb,test,paraphrase,austen,0.818182,1.0,0.9,9
diagonal_gaussian_nb,test,paraphrase,dickens,0.533333,0.888889,0.666667,9
diagonal_gaussian_nb,test,paraphrase,poe,0.454545,0.555556,0.5,9
diagonal_gaussian_nb,test,paraphrase,shelley,0.625,0.555556,0.588235,9
diagonal_gaussian_nb,test,paraphrase,twain,0.714286,0.555556,0.625,9
diagonal_gaussian_nb,test,paraphrase,wilde,1.0,0.222222,0.363636,9
linear_discriminant_shrinkage,validation,paraphrase,austen,0.75,0.666667,0.705882,9
linear_discriminant_shrinkage,validation,paraphrase,dickens,0.428571,0.666667,0.521739,9
linear_discriminant_shrinkage,validation,paraphrase,poe,0.615385,0.888889,0.727273,9
linear_discriminant_shrinkage,validation,paraphrase,shelley,0.777778,0.777778,0.777778,9
linear_discriminant_shrinkage,validation,paraphrase,twain,1.0,0.222222,0.363636,9
linear_discriminant_shrinkage,validation,paraphrase,wilde,0.5,0.444444,0.470588,9
linear_discriminant_shrinkage,test,paraphrase,austen,0.75,1.0,0.857143,9
linear_discriminant_shrinkage,test,paraphrase,dickens,0.833333,0.555556,0.666667,9
linear_discriminant_shrinkage,test,paraphrase,poe,0.4,0.444444,0.421053,9
linear_discriminant_shrinkage,test,paraphrase,shelley,0.583333,0.777778,0.666667,9
linear_discriminant_shrinkage,test,paraphrase,twain,0.833333,0.555556,0.666667,9
linear_discriminant_shrinkage,test,paraphrase,wilde,0.375,0.333333,0.352941,9
nearest_centroid,validation,modernize,austen,0.888889,0.888889,0.888889,9
nearest_centroid,validation,modernize,dickens,0.555556,0.555556,0.555556,9
nearest_centroid,validation,modernize,poe,0.75,1.0,0.857143,9
nearest_centroid,validation,modernize,shelley,0.727273,0.888889,0.8,9
nearest_centroid,validation,modernize,twain,0.6,0.333333,0.428571,9
nearest_centroid,validation,modernize,wilde,0.375,0.333333,0.352941,9
nearest_centroid,test,modernize,austen,0.818182,1.0,0.9,9
nearest_centroid,test,modernize,dickens,0.571429,0.444444,0.5,9
nearest_centroid,test,modernize,poe,0.555556,0.555556,0.555556,9
nearest_centroid,test,modernize,shelley,0.7,0.777778,0.736842,9
nearest_centroid,test,modernize,twain,1.0,0.777778,0.875,9
nearest_centroid,test,modernize,wilde,0.5,0.555556,0.526316,9
