model,split,condition,accuracy,macro_f1,weighted_f1,rows,train_condition,scaler_fit_scope
nearest_centroid,validation,original,0.648148,0.620187,0.620187,54,original,train_original_only
nearest_centroid,test,original,0.777778,0.776931,0.776931,54,original,train_original_only
diagonal_gaussian_nb,validation,original,0.703704,0.683694,0.683694,54,original,train_original_only
diagonal_gaussian_nb,test,original,0.759259,0.760859,0.760859,54,original,train_original_only
linear_discriminant_shrinkage,validation,original,0.666667,0.650204,0.650204,54,original,train_original_only
linear_discriminant_shrinkage,test,original,0.777778,0.776931,0.776931,54,original,train_original_only
nearest_centroid,validation,paraphrase,0.592593,0.570449,0.570449,54,paraphrase,train_paraphrase_only
nearest_centroid,test,paraphrase,0.62963,0.623903,0.623903,54,paraphrase,train_paraphrase_only
diagonal_gaussian_nb,validation,paraphrase,0.574074,0.551126,0.551126,54,paraphrase,train_paraphrase_only
diagonal_gaussian_nb,test,paraphrase,0.62963,0.607256,0.607256,54,paraphrase,train_paraphrase_only
linear_discriminant_shrinkage,validation,paraphrase,0.611111,0.594483,0.594483,54,paraphrase,train_paraphrase_only
linear_discriminant_shrinkage,test,paraphrase,0.611111,0.605189,0.605189,54,paraphrase,train_paraphrase_only
nearest_centroid,validation,modernize,0.666667,0.647183,0.647183,54,modernize,train_modernize_only
nearest_centroid,test,modernize,0.685185,0.682286,0.682286,54,modernize,train_modernize_only
diagonal_gaussian_nb,validation,modernize,0.62963,0.613832,0.613832,54,modernize,train_modernize_only
diagonal_gaussian_nb,test,modernize,0.685185,0.656836,0.656836,54,modernize,train_modernize_only
linear_discriminant_shrinkage,validation,modernize,0.666667,0.647183,0.647183,54,modernize,train_modernize_only
linear_discriminant_shrinkage,test,modernize,0.685185,0.682286,0.682286,54,modernize,train_modernize_only
nearest_centroid,validation,simplify,0.611111,0.596242,0.596242,54,simplify,train_simplify_only
nearest_centroid,test,simplify,0.685185,0.682286,0.682286,54,simplify,train_simplify_only
diagonal_gaussian_nb,validation,simplify,0.592593,0.551449,0.551449,54,simplify,train_simplify_only
diagonal_gaussian_nb,test,simplify,0.592593,0.569321,0.569321,54,simplify,train_simplify_only
linear_discriminant_shrinkage,validation,simplify,0.62963,0.614141,0.614141,54,simplify,train_simplify_only
linear_discriminant_shrinkage,test,simplify,0.648148,0.647004,0.647004,54,simplify,train_simplify_only
