passage_id,condition,candidate_id,canonical_id,alias_id,author_id,author_name,work_id,work_title,gutenberg_ebook_no,selection_rank_within_work,final_index_within_author,candidate_index_within_source,start_word_index,end_word_index,word_count,sentence_count,paragraph_count,start_char,end_char,dialogue_marker_count,dialogue_marker_per_1000w,punctuation_per_1000w,semicolon_per_1000w,dash_per_1000w,apostrophe_per_1000w,mean_sentence_words,long_sentence_ratio,selection_method
AUSTEN_EMMA_001,original,AUSTEN_AUTHOR1_WORK2_0010,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,1,1,10,6579,7148,569,27,7,36589,39797,5,8.787,152.9,12.302,5.272,5.272,21.074,0.148148,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_002,original,AUSTEN_AUTHOR1_WORK2_0016,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,2,2,16,10944,11506,562,41,9,60274,63314,28,49.822,218.861,12.456,14.235,7.117,13.707,0.02439,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_003,original,AUSTEN_AUTHOR1_WORK2_0023,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,3,3,23,15994,16549,555,38,13,87748,90672,31,55.856,239.64,10.811,23.423,9.009,14.605,0.078947,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_004,original,AUSTEN_AUTHOR1_WORK2_0029,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,4,4,29,20308,20868,560,27,5,111074,114126,14,25.0,185.714,14.286,7.143,5.357,20.741,0.111111,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_005,original,AUSTEN_AUTHOR1_WORK2_0037,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,5,5,37,26109,26672,563,31,11,142445,145471,25,44.405,197.158,23.091,12.433,8.881,18.161,0.032258,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_006,original,AUSTEN_AUTHOR1_WORK2_0043,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,6,6,43,30511,31074,563,45,10,166716,169747,29,51.51,245.115,5.329,19.538,5.329,12.511,0.044444,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_007,original,AUSTEN_AUTHOR1_WORK2_0050,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,7,7,50,35814,36367,553,38,12,195479,198503,31,56.058,240.506,18.083,16.275,7.233,14.553,0.078947,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_008,original,AUSTEN_AUTHOR1_WORK2_0058,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,8,8,58,41657,42231,574,26,10,227455,230578,12,20.906,162.021,17.422,10.453,3.484,22.077,0.153846,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_009,original,AUSTEN_AUTHOR1_WORK2_0067,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,9,9,67,48275,48837,562,36,9,264429,267524,27,48.043,206.406,23.132,3.559,8.897,15.611,0.027778,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_010,original,AUSTEN_AUTHOR1_WORK2_0074,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,10,10,74,53428,53986,558,18,3,292485,295639,3,5.376,184.588,23.297,21.505,1.792,31.0,0.333333,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_011,original,AUSTEN_AUTHOR1_WORK2_0081,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,11,11,81,58412,58965,553,21,8,319314,322536,6,10.85,179.024,16.275,19.892,10.85,26.333,0.285714,deterministic_even_spread_30_per_work_after_quality_filters
AUSTEN_EMMA_012,original,AUSTEN_AUTHOR1_WORK2_0089,pg_austen_158,author1_work2,austen,Jane Austen,emma,Emma,158,12,12,89,64386,64952,566,33,10,352839,355962,22,38.869,206.714,17.668,15.901,5.3,17.152,0.060606,deterministic_even_spread_30_per_work_after_quality_filters
