source_pdf,text_path,status,size_bytes,chars,words,sha256
CharlesDicken/10-Hard-times-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/10-Hard-times-author-Charles-Dickens.txt,extracted,595749,580392,105962,7edc5fa12b4ed574e00b9d3a313d9050488c7657ae63d258594b6c62014ee919
CharlesDicken/11-Dombey-and-Son-autor-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/11-Dombey-and-Son-autor-Charles-Dickens.txt,extracted,2007498,1999729,364104,278bee2fcae1fb08cd38a3ca0279f7cae14c7d1c3363d47f318ef4e2d0d3f64
CharlesDicken/12-Martin-Chuzzlewit-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/12-Martin-Chuzzlewit-author-Charles-Dickens.txt,extracted,1882498,1877187,335609,6199c46fe67da1741ab64c9093c9ffcd320451c589e4ec59ecc82ec1ffac7f7a
CharlesDicken/13-Our-Mutual-Friend-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/13-Our-Mutual-Friend-author-Charles-Dickens.txt,extracted,1860323,1855630,330591,fe577396870707144572ff854fe907d86e4be37a35ac06aa64cdab47350928b1
CharlesDicken/14-The-Mystery-of-Edwin-Drood-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/14-The-Mystery-of-Edwin-Drood-author-Charles-Dickens.txt,extracted,544226,542724,94036,7ebf8d2fb819d567357dff7d2f0af6c7535f5c3f8ec4816532180ae1e452fd04
CharlesDicken/15-Barnaby-Rudge-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/15-Barnaby-Rudge-author-Charles-Dickens.txt,extracted,1477428,1474261,264102,1fb22f20d7a3df9caf39d75694605088585d4ed908346e83b699f8632f78dd97
CharlesDicken/16-American-Notes-for-General-Circulation-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/16-American-Notes-for-General-Circulation-author-Charles-Dickens.txt,extracted,587653,586613,105285,213e7a7a0284dec420608cced943a3665c665a88dba42cdf42d4cf792d2ae014
CharlesDicken/17-The-Chimes-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/17-The-Chimes-author-Charles-Dickens.txt,empty_or_failed,0,0,0,
CharlesDicken/18-The-Cricket-on-the-Hearth-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/18-The-Cricket-on-the-Hearth-author-Charles-Dickens.txt,extracted,183478,183105,32410,425d958b9d4b77567c28f43c34ef70e17c3eb4ab52161ded9a8a229d0bdf1b3e
CharlesDicken/196.-Bleak-House-Author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/196.-Bleak-House-Author-Charles-Dickens.txt,extracted,1970699,1964465,351311,f727c32e338a0d3d3bbcb41b76c6f15d203d9d413ac097ca2bfc690da84dcf49
CharlesDicken/2.-Oliver-Twist-Author-Charles-Dickens-compressed.pdf,data/raw/text_extracted/CharlesDicken/2.-Oliver-Twist-Author-Charles-Dickens-compressed.txt,extracted,896711,893106,155565,074c640c29494cd594bf87ca884b3a5c7075d48d894b6aadfdf0f9c85c2698ed
CharlesDicken/20-The-Old-Curiosity-Shop-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/20-The-Old-Curiosity-Shop-author-Charles-Dickens.txt,empty_or_failed,0,0,0,
CharlesDicken/21-Master-Humphrey-s-Clock-author-Charles-Dickens.pdf,data/raw/text_extracted/CharlesDicken/21-Master-Humphrey-s-Clock-author-Charles-Dickens.txt,extracted,254119,252985,45642,a8d566de099a9c697b8d4ab715c8fdfb3f14e1eeeec2381760173ef22ebbc3b0
